市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2016年11月01日 至 2016年11月30日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,1105,0,22,1,50,0,0,0,0,65
2,计算机软件,69,2,0,0,8,2,0,0,0,7
3,销售管理,1513,0,10,4,82,12,0,0,0,66
4,市场/营销,1377,2,17,13,61,6,0,0,0,36
5,销售人员,2380,2,37,10,95,5,0,0,0,117
6,计算机硬件,8,0,0,0,3,0,0,0,0,0
7,互联网开发及应用,195,0,0,3,11,1,1,0,0,26
8,IT-管理,19,0,0,0,4,1,0,0,0,4
9,IT-品管、技术支持及其它,9,0,0,0,2,0,0,0,0,1
10,通信技术,42,0,2,0,14,0,0,0,0,0
11,电子/电器/半导体/仪器仪表,121,0,0,1,10,12,0,0,0,6
12,财务/审计/税务,173,2,2,10,66,3,0,0,0,4
13,工程/机械/能源,477,4,2,14,23,12,0,0,0,22
14,人力资源,177,0,3,0,67,5,0,0,0,15
15,高级管理,11,0,0,0,3,2,0,0,0,4
16,物流/仓储,162,1,11,4,15,1,0,0,0,17
17,艺术/平面/动画设计,173,0,0,15,14,0,0,0,0,27
18,律师/法务,10,0,0,0,0,0,0,0,0,5
19,教师,54,0,0,0,10,2,0,0,0,0
20,医院/医疗/护理,264,0,1,1,5,2,0,0,0,5
21,咨询/顾问,173,0,4,4,3,0,0,0,0,1
22,交通运输服务,37,2,5,0,1,0,0,0,0,7
23,建筑工程/道桥/园艺,141,4,0,0,34,0,0,0,0,2
24,银行,40,0,0,0,0,4,0,0,0,0
25,行政/后勤,364,0,4,10,67,14,0,0,0,58
26,客服及技术支持,707,0,21,1,21,1,0,0,0,7
27,证券/金融/投资,36,0,0,0,4,0,0,0,0,0
28,保险,330,0,0,0,15,6,0,0,0,13
29,生产/营运,116,6,1,2,11,3,1,0,0,10
30,质量体系/安全/环境保护,67,0,0,8,10,3,0,0,0,4
31,技工,951,11,4,26,3,0,0,0,0,74
32,采购,13,0,0,2,3,1,0,0,0,0
33,贸易,82,0,0,0,7,3,0,0,0,0
34,生物/化工/制药/医疗器械,121,0,0,0,6,5,1,0,0,42
35,广告,3,0,0,0,3,0,0,0,0,0
36,公关/媒介,4,0,0,0,2,0,0,0,0,0
37,影视/媒体,61,0,0,6,1,1,0,0,0,0
38,文字/媒体/写作,39,0,0,0,13,0,0,0,0,0
39,房地产,157,0,3,1,14,0,0,0,0,8
40,物业管理,239,0,5,0,8,0,0,0,0,19
41,餐饮/娱乐,757,13,8,9,2,0,0,0,0,83
42,酒店/旅游,28,0,4,0,3,0,0,0,0,3
43,美容/保健,104,0,0,0,1,0,0,0,0,8
44,百货/连锁/零售服务,220,2,1,2,5,0,0,0,0,7
45,保安/家政/其他服务,116,2,0,0,1,0,0,0,0,25
46,毕业生类,311,0,0,0,17,4,0,0,0,14
47,其他,241,3,4,0,60,8,0,0,0,27
总体情况【招聘单位总数：254　　招聘职位总数：2193　　 招聘人数总数：13797】,,,,,,,,,,,
