市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2016年12月01日 至 2016年12月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,576,0,0,6,26,2,0,0,0,44
2,计算机软件,47,0,0,0,9,2,0,0,0,1
3,销售管理,521,0,6,10,51,4,0,0,0,23
4,市场/营销,843,0,8,4,43,4,0,0,0,49
5,销售人员,2023,0,28,21,70,0,0,0,0,73
6,计算机硬件,4,0,0,0,1,0,0,0,0,0
7,互联网开发及应用,142,0,0,0,10,7,0,0,0,22
8,IT-品管、技术支持及其它,5,0,0,0,4,0,0,0,0,0
9,通信技术,30,0,0,0,13,0,0,0,0,0
10,电子/电器/半导体/仪器仪表,192,0,11,2,1,2,0,0,0,0
11,财务/审计/税务,120,0,0,5,43,9,0,0,0,18
12,工程/机械/能源,300,2,5,0,18,8,0,0,0,23
13,人力资源,125,4,1,0,35,6,0,0,0,3
14,高级管理,9,0,0,0,1,2,0,0,0,6
15,物流/仓储,167,4,4,8,10,2,0,0,0,16
16,艺术/平面/动画设计,169,0,0,11,19,0,0,0,0,13
17,科研人员,3,0,0,0,1,1,0,0,0,0
18,律师/法务,2,0,0,0,0,2,0,0,0,0
19,教师,19,0,0,0,1,2,1,0,0,0
20,医院/医疗/护理,12,0,0,0,1,2,0,0,0,0
21,咨询/顾问,9,0,1,0,0,0,0,0,0,1
22,交通运输服务,29,2,0,0,0,0,0,0,0,9
23,建筑工程/道桥/园艺,199,0,0,5,15,4,0,0,0,1
24,行政/后勤,356,1,8,2,35,1,0,0,0,42
25,客服及技术支持,170,0,10,6,9,0,0,0,0,8
26,证券/金融/投资,126,0,0,0,5,0,0,0,0,0
27,生产/营运,142,2,5,7,16,0,0,0,0,5
28,质量体系/安全/环境保护,79,0,0,5,6,3,0,0,0,11
29,技工,744,7,7,15,3,0,0,0,0,68
30,服装/纺织/皮革,5,0,0,0,0,0,0,0,0,1
31,采购,3,0,0,0,2,0,0,0,0,0
32,生物/化工/制药/医疗器械,69,0,0,0,0,8,0,0,0,24
33,广告,4,0,0,0,1,2,0,0,0,0
34,公关/媒介,21,0,0,3,0,0,0,0,0,0
35,文字/媒体/写作,38,0,0,0,12,0,0,0,0,2
36,房地产,152,0,1,3,7,0,0,0,0,0
37,物业管理,26,1,0,0,1,0,0,0,0,7
38,餐饮/娱乐,429,0,1,0,0,0,0,0,0,62
39,酒店/旅游,26,0,3,0,3,0,0,0,0,1
40,美容/保健,24,1,1,0,1,0,0,0,0,0
41,百货/连锁/零售服务,415,0,8,1,7,0,0,0,0,15
42,保安/家政/其他服务,40,0,0,0,0,0,0,0,0,16
43,毕业生类,188,0,0,0,10,1,0,0,0,2
44,其他,553,0,5,6,51,11,0,0,0,29
总体情况【招聘单位总数：183　　招聘职位总数：1493　　 招聘人数总数：9156】,,,,,,,,,,,
