市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2016年06月01日 至 2016年06月30日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,114,0,5,1,12,1,0,0,0,0
2,计算机软件,250,0,0,0,0,3,0,0,0,27
3,销售管理,2416,0,62,10,209,29,0,0,0,124
4,市场/营销,2024,2,41,12,124,29,0,0,0,76
5,销售人员,6907,7,161,31,286,6,0,0,0,221
6,计算机硬件,37,0,2,0,8,0,0,0,0,2
7,互联网开发及应用,311,0,0,8,44,1,0,0,0,39
8,IT-管理,6,0,0,0,2,0,0,0,0,0
9,IT-品管、技术支持及其它,31,0,0,1,7,4,0,0,0,0
10,通信技术,68,0,6,0,2,0,0,0,0,1
11,电子/电器/半导体/仪器仪表,113,0,0,12,16,5,0,0,0,5
12,财务/审计/税务,251,0,2,7,98,12,0,0,0,11
13,工程/机械/能源,141,0,1,0,27,18,0,0,0,9
14,人力资源,279,0,2,3,97,8,0,0,0,19
15,高级管理,56,0,0,0,0,4,0,0,0,10
16,物流/仓储,185,2,25,16,17,0,0,0,0,19
17,艺术/平面/动画设计,348,0,0,14,42,7,0,0,0,23
18,科研人员,7,0,0,0,2,0,0,0,0,0
19,律师/法务,6,0,0,0,0,0,0,0,0,5
20,教师,117,0,0,0,13,11,1,0,0,1
21,医院/医疗/护理,389,0,1,2,31,10,0,0,0,16
22,咨询/顾问,304,0,7,0,12,1,0,0,0,12
23,交通运输服务,111,8,8,2,0,0,0,0,0,21
24,建筑工程/道桥/园艺,282,4,0,8,28,3,0,0,0,23
25,行政/后勤,940,2,24,24,174,24,0,0,0,92
26,客服及技术支持,1369,0,26,7,84,4,0,0,0,41
27,证券/金融/投资,477,0,6,9,20,2,0,0,0,7
28,保险,110,0,2,0,6,0,0,0,0,0
29,生产/营运,174,0,4,4,18,3,0,0,0,8
30,质量体系/安全/环境保护,132,0,0,6,19,10,0,0,0,6
31,技工,580,9,4,11,14,4,0,0,0,72
32,服装/纺织/皮革,1,0,0,1,0,0,0,0,0,0
33,采购,51,0,0,2,16,0,0,0,0,7
34,贸易,9,0,0,0,0,2,0,0,0,2
35,生物/化工/制药/医疗器械,59,1,2,1,11,0,0,0,0,2
36,广告,34,0,0,0,7,0,0,0,0,5
37,公关/媒介,4,0,0,0,2,0,0,0,0,0
38,影视/媒体,4,0,0,0,0,0,0,0,0,2
39,文字/媒体/写作,21,0,0,0,13,0,0,0,0,1
40,房地产,1606,0,5,4,1,0,0,0,0,56
41,物业管理,92,0,0,0,5,0,0,0,0,11
42,餐饮/娱乐,495,0,0,3,10,0,0,0,0,67
43,酒店/旅游,16,0,0,0,2,0,0,0,0,6
44,美容/保健,78,0,0,1,5,0,0,0,0,2
45,百货/连锁/零售服务,291,1,8,11,15,0,0,0,0,17
46,保安/家政/其他服务,30,2,0,0,0,0,0,0,0,13
47,毕业生类,490,0,2,6,17,10,0,0,0,9
48,其他,638,4,16,5,39,8,0,0,0,33
总体情况【招聘单位总数：388　　招聘职位总数：3585　　 招聘人数总数：22454】,,,,,,,,,,,
