市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2016年02月01日 至 2016年02月29日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,计算机软件,335,0,0,0,21,7,0,0,0,37
2,销售管理,6102,8,54,42,470,37,0,0,0,352
3,市场/营销,8092,4,95,54,322,53,0,0,0,354
4,销售人员,14857,27,202,54,569,20,0,0,0,558
5,计算机硬件,77,0,0,0,4,0,0,0,0,12
6,互联网开发及应用,384,0,0,8,68,17,0,0,0,47
7,IT-管理,21,0,0,0,7,1,0,0,0,0
8,IT-品管、技术支持及其它,100,0,0,1,20,6,0,0,0,5
9,通信技术,32,0,2,0,0,0,0,0,0,4
10,电子/电器/半导体/仪器仪表,225,0,6,12,28,20,2,0,0,3
11,财务/审计/税务,920,5,2,5,270,29,0,0,0,148
12,工程/机械/能源,2323,2,4,14,92,48,0,0,0,54
13,人力资源,879,4,15,5,216,28,0,0,0,113
14,高级管理,35,0,0,0,14,5,0,0,0,3
15,物流/仓储,1994,10,47,24,93,5,0,0,0,161
16,艺术/平面/动画设计,886,0,0,2,124,29,0,0,0,88
17,科研人员,6,0,0,0,0,2,0,0,0,0
18,律师/法务,23,0,0,0,4,5,0,0,0,2
19,教师,776,0,0,6,36,78,10,0,0,38
20,医院/医疗/护理,133,0,0,0,20,1,0,0,0,5
21,咨询/顾问,765,0,0,10,79,2,0,0,0,52
22,交通运输服务,264,4,15,2,1,0,0,0,0,66
23,建筑工程/道桥/园艺,844,0,7,5,70,2,0,0,0,107
24,银行,31,0,0,6,3,0,0,0,0,0
25,行政/后勤,2020,0,49,31,466,33,0,0,0,242
26,客服及技术支持,2790,0,27,11,174,17,0,0,0,150
27,证券/金融/投资,4304,0,1,0,33,9,0,0,0,74
28,保险,786,0,0,0,8,1,0,0,0,15
29,生产/营运,2581,4,3,11,84,19,0,0,0,107
30,质量体系/安全/环境保护,3136,16,7,17,45,24,0,0,0,27
31,技工,5714,70,46,46,15,4,0,0,0,263
32,采购,250,0,0,19,69,9,0,0,0,9
33,贸易,107,0,0,0,20,5,0,0,0,8
34,生物/化工/制药/医疗器械,72,0,0,0,10,1,0,0,0,20
35,广告,70,0,0,0,34,1,0,0,0,5
36,公关/媒介,24,0,0,0,4,0,0,0,0,0
37,影视/媒体,43,0,0,0,13,0,0,0,0,1
38,文字/媒体/写作,29,0,0,1,7,3,0,0,0,8
39,房地产,2633,32,30,23,30,4,0,0,0,47
40,物业管理,254,0,0,6,18,3,0,0,0,19
41,餐饮/娱乐,1634,8,27,4,7,0,0,0,0,129
42,酒店/旅游,231,0,1,0,28,0,0,0,0,10
43,美容/保健,1182,19,15,10,8,0,0,0,0,29
44,百货/连锁/零售服务,779,8,8,30,25,2,0,0,0,13
45,保安/家政/其他服务,434,0,4,0,7,0,0,0,0,29
46,毕业生类,849,0,9,0,66,1,0,0,0,24
47,其他,1112,0,32,14,138,29,0,0,0,117
总体情况【招聘单位总数：582　　招聘职位总数：9370　　 招聘人数总数：71138】,,,,,,,,,,,
