市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2016年10月01日 至 2016年10月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,1358,0,19,4,62,0,0,0,0,57
2,计算机软件,150,0,0,0,14,12,2,2,0,10
3,销售管理,5129,6,20,3,171,12,0,0,0,95
4,市场/营销,3597,6,25,15,75,14,0,0,0,52
5,销售人员,5829,4,71,17,139,12,0,0,0,175
6,计算机硬件,29,0,0,0,7,1,0,0,0,0
7,互联网开发及应用,403,0,0,1,29,8,0,0,0,29
8,IT-管理,23,0,0,0,5,2,0,0,0,1
9,IT-品管、技术支持及其它,38,0,0,0,7,3,0,0,0,0
10,通信技术,41,0,0,2,0,1,0,0,0,0
11,电子/电器/半导体/仪器仪表,344,0,6,0,13,22,16,0,0,4
12,财务/审计/税务,239,0,3,2,67,16,1,0,0,35
13,工程/机械/能源,672,1,2,11,43,36,4,1,0,15
14,人力资源,211,0,7,0,65,8,0,0,0,21
15,高级管理,19,0,0,0,6,8,1,0,0,2
16,物流/仓储,363,3,16,5,19,5,0,0,0,29
17,艺术/平面/动画设计,261,0,2,11,25,8,0,0,0,24
18,科研人员,12,0,0,0,0,2,2,1,0,0
19,律师/法务,6,0,0,0,0,0,0,0,0,3
20,教师,239,0,0,0,7,10,0,16,0,5
21,医院/医疗/护理,1445,0,0,2,9,0,0,0,0,3
22,咨询/顾问,578,0,13,0,18,0,0,0,0,3
23,交通运输服务,70,2,5,0,3,0,0,0,0,19
24,翻译,32,0,0,0,2,3,0,0,0,0
25,建筑工程/道桥/园艺,277,7,1,4,24,7,0,0,0,13
26,行政/后勤,486,2,15,4,107,9,1,0,0,52
27,客服及技术支持,671,2,32,7,45,3,0,0,0,7
28,证券/金融/投资,212,0,0,0,8,7,0,0,0,11
29,保险,465,0,17,0,29,6,1,0,0,5
30,生产/营运,94,0,4,4,9,4,0,0,0,4
31,质量体系/安全/环境保护,92,0,0,5,10,12,1,0,0,3
32,技工,1293,15,7,38,5,7,0,0,0,86
33,采购,15,0,0,0,6,5,0,0,0,0
34,贸易,144,0,0,0,11,7,0,0,0,1
35,生物/化工/制药/医疗器械,302,0,4,0,10,27,4,1,0,2
36,广告,5,0,0,0,1,0,0,0,0,1
37,公关/媒介,13,0,0,0,3,0,0,0,0,2
38,影视/媒体,27,0,0,3,0,1,0,0,0,2
39,文字/媒体/写作,9,0,0,0,1,3,0,0,0,0
40,房地产,203,0,2,0,13,0,0,0,0,16
41,物业管理,106,0,3,0,3,1,0,0,0,16
42,餐饮/娱乐,489,3,4,1,0,0,0,0,0,62
43,酒店/旅游,115,0,3,0,4,7,0,0,0,16
44,美容/保健,152,8,0,0,1,2,0,0,0,5
45,百货/连锁/零售服务,294,6,0,3,3,0,0,0,0,7
46,保安/家政/其他服务,61,0,0,0,2,0,0,0,0,20
47,毕业生类,821,0,0,0,39,27,1,0,0,16
48,其他,364,3,0,2,60,11,2,0,0,42
总体情况【招聘单位总数：377　　招聘职位总数：3033　　 招聘人数总数：27798】,,,,,,,,,,,
