市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2016年01月01日 至 2016年01月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,计算机软件,35,0,0,2,3,2,0,0,0,4
2,销售管理,277,0,3,2,24,2,0,0,0,12
3,市场/营销,332,0,6,0,21,2,0,0,0,28
4,销售人员,1015,0,17,4,46,1,0,0,0,48
5,计算机硬件,1,0,0,0,0,0,0,0,0,1
6,互联网开发及应用,59,0,0,1,4,0,0,0,0,9
7,IT-品管、技术支持及其它,50,0,2,0,2,0,0,0,0,0
8,电子/电器/半导体/仪器仪表,19,0,0,0,5,4,0,0,0,0
9,财务/审计/税务,54,0,0,0,20,6,0,0,0,8
10,工程/机械/能源,105,0,0,3,22,6,0,0,0,3
11,人力资源,18,0,0,0,5,8,0,0,0,0
12,高级管理,24,0,0,0,2,0,0,0,0,4
13,物流/仓储,40,0,1,0,7,1,0,0,0,11
14,艺术/平面/动画设计,30,0,1,0,4,0,0,0,0,6
15,律师/法务,18,0,0,0,6,0,0,0,0,0
16,医院/医疗/护理,6,0,0,0,1,0,0,0,0,0
17,咨询/顾问,95,0,0,0,5,0,0,0,0,10
18,交通运输服务,8,0,0,0,0,0,0,0,0,5
19,翻译,1,0,0,0,0,1,0,0,0,0
20,建筑工程/道桥/园艺,82,0,0,2,11,2,0,0,0,5
21,行政/后勤,122,0,2,0,31,6,0,0,0,11
22,客服及技术支持,105,0,0,0,12,0,0,0,0,5
23,生产/营运,151,0,1,0,2,2,0,0,0,3
24,质量体系/安全/环境保护,38,0,0,1,13,2,0,0,0,3
25,技工,483,7,0,8,3,0,0,0,0,37
26,采购,4,0,0,0,2,1,0,0,0,0
27,贸易,4,0,0,0,2,0,0,0,0,0
28,生物/化工/制药/医疗器械,6,0,0,0,0,0,0,0,0,4
29,广告,10,0,0,0,3,0,0,0,0,0
30,房地产,67,0,0,1,3,0,0,0,0,0
31,物业管理,3,0,0,0,0,0,0,0,0,3
32,餐饮/娱乐,11,0,0,0,0,0,0,0,0,2
33,酒店/旅游,63,3,0,6,6,0,0,0,0,0
34,美容/保健,30,1,1,0,0,0,0,0,0,0
35,百货/连锁/零售服务,32,0,0,0,1,0,0,0,0,2
36,保安/家政/其他服务,2,0,0,0,1,0,0,0,0,1
37,毕业生类,105,0,0,0,11,0,0,0,0,0
38,其他,256,0,3,5,14,1,0,0,0,30
总体情况【招聘单位总数：93　　招聘职位总数：677　　 招聘人数总数：3761】,,,,,,,,,,,
