市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2016年03月01日 至 2016年03月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,计算机软件,553,0,3,2,27,18,0,0,0,34
2,销售管理,12079,8,128,66,789,46,0,0,0,602
3,市场/营销,8168,12,118,46,575,43,0,0,0,443
4,销售人员,25855,28,429,120,712,23,0,0,0,897
5,计算机硬件,131,0,0,2,18,14,0,0,0,8
6,互联网开发及应用,416,0,3,3,82,15,0,0,0,64
7,IT-管理,15,0,0,0,4,0,0,0,0,2
8,IT-品管、技术支持及其它,199,0,2,0,37,6,0,0,0,7
9,通信技术,289,0,22,0,5,1,0,0,0,8
10,电子/电器/半导体/仪器仪表,247,0,0,14,26,19,0,0,0,21
11,财务/审计/税务,1032,0,6,13,336,53,0,0,0,126
12,工程/机械/能源,3097,4,1,13,101,52,0,0,0,29
13,人力资源,1464,4,6,17,312,90,0,0,0,128
14,高级管理,72,0,0,0,18,14,0,0,0,12
15,物流/仓储,2412,20,47,26,113,3,0,0,0,119
16,艺术/平面/动画设计,881,0,3,9,134,15,0,0,0,99
17,科研人员,58,0,0,0,0,6,0,2,0,3
18,律师/法务,21,0,0,0,0,11,0,0,0,1
19,教师,839,0,2,0,78,75,2,0,0,37
20,医院/医疗/护理,377,0,0,3,39,2,0,0,0,23
21,咨询/顾问,1221,0,5,7,129,12,0,0,0,55
22,交通运输服务,448,21,13,0,3,0,0,0,0,64
23,翻译,65,0,0,0,18,0,0,0,0,1
24,建筑工程/道桥/园艺,721,0,4,7,90,2,0,0,0,69
25,银行,50,0,0,0,6,0,0,0,0,0
26,行政/后勤,3275,2,46,79,716,54,0,0,0,339
27,客服及技术支持,4039,1,40,30,241,17,0,0,0,223
28,证券/金融/投资,1711,0,13,0,41,17,0,0,0,57
29,保险,600,0,11,0,30,20,0,0,0,16
30,生产/营运,1252,6,12,5,71,24,0,0,0,35
31,质量体系/安全/环境保护,4835,28,8,28,64,18,0,0,0,17
32,技工,5988,120,39,14,8,1,0,0,0,188
33,采购,151,0,0,8,52,4,0,0,0,11
34,贸易,57,0,0,0,7,10,0,0,0,9
35,生物/化工/制药/医疗器械,204,4,2,0,24,10,2,0,0,23
36,广告,76,0,0,0,13,2,0,0,0,10
37,公关/媒介,39,0,0,0,1,1,0,0,0,12
38,影视/媒体,342,0,2,0,18,2,0,0,0,27
39,文字/媒体/写作,102,0,3,0,23,3,0,0,0,24
40,房地产,3176,20,27,17,44,8,0,0,0,104
41,物业管理,303,6,3,3,16,2,0,0,0,32
42,餐饮/娱乐,1381,3,11,4,26,0,0,0,0,141
43,酒店/旅游,141,1,0,0,7,0,0,0,0,27
44,美容/保健,1113,22,22,14,5,0,0,0,0,17
45,百货/连锁/零售服务,693,6,15,8,31,5,0,0,0,36
46,保安/家政/其他服务,270,4,3,0,5,0,0,0,0,30
47,毕业生类,1605,3,4,6,123,5,0,0,0,64
48,其他,1380,0,16,11,145,16,0,0,0,167
总体情况【招聘单位总数：1009　　招聘职位总数：12540　　 招聘人数总数：93443】,,,,,,,,,,,
