市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2016年04月01日 至 2016年04月30日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,5,0,0,0,1,0,0,0,0,0
2,计算机软件,404,0,0,0,12,11,0,0,0,30
3,销售管理,5246,3,82,41,427,19,0,0,0,230
4,市场/营销,4067,1,64,18,269,9,0,0,0,214
5,销售人员,13743,8,290,75,415,7,0,0,0,363
6,计算机硬件,54,0,0,0,4,0,0,0,0,2
7,互联网开发及应用,302,0,0,0,49,1,0,0,0,43
8,IT-管理,30,0,0,0,7,1,0,0,0,4
9,IT-品管、技术支持及其它,90,0,0,0,26,0,0,0,0,1
10,通信技术,75,0,6,0,4,0,0,0,0,2
11,电子/电器/半导体/仪器仪表,95,0,3,2,5,13,2,0,0,5
12,财务/审计/税务,347,0,1,6,129,17,0,0,0,38
13,工程/机械/能源,232,0,6,1,16,22,0,0,0,12
14,人力资源,845,1,5,5,194,46,0,0,0,29
15,高级管理,4,0,0,0,2,1,0,0,0,0
16,物流/仓储,429,6,23,10,55,1,0,0,0,44
17,艺术/平面/动画设计,438,0,0,18,87,9,0,0,0,31
18,科研人员,37,0,0,0,0,4,2,0,0,0
19,律师/法务,10,0,0,0,0,2,0,0,0,8
20,教师,619,0,2,0,48,41,4,0,0,11
21,医院/医疗/护理,124,0,2,4,16,0,0,0,0,2
22,咨询/顾问,1058,0,5,1,97,10,0,0,0,24
23,交通运输服务,326,25,7,0,0,0,0,0,0,25
24,翻译,2,0,0,0,2,0,0,0,0,0
25,建筑工程/道桥/园艺,413,0,4,3,54,3,0,0,0,20
26,银行,10,0,0,0,10,0,0,0,0,0
27,行政/后勤,1443,0,22,28,300,39,0,0,0,143
28,客服及技术支持,1525,1,13,21,155,4,0,0,0,43
29,证券/金融/投资,1074,0,3,12,27,7,0,0,0,33
30,保险,568,0,2,0,16,5,0,0,0,19
31,生产/营运,141,4,1,2,15,2,0,0,0,12
32,质量体系/安全/环境保护,110,0,7,1,29,5,0,0,0,5
33,技工,3326,44,18,5,10,0,0,0,0,70
34,采购,53,0,0,2,21,1,0,0,0,8
35,贸易,44,0,0,0,5,5,0,0,0,2
36,生物/化工/制药/医疗器械,117,0,0,0,22,4,0,0,0,23
37,广告,23,0,0,0,5,2,0,0,0,7
38,公关/媒介,99,0,0,0,9,1,0,0,0,2
39,影视/媒体,2,0,0,0,0,0,0,0,0,2
40,文字/媒体/写作,22,0,0,0,1,2,0,0,0,4
41,房地产,631,0,0,6,6,0,0,0,0,43
42,物业管理,222,1,0,2,6,0,0,0,0,20
43,餐饮/娱乐,863,0,0,0,15,0,0,0,0,65
44,酒店/旅游,150,0,0,0,2,0,0,0,0,13
45,美容/保健,132,0,4,0,5,0,0,0,0,20
46,百货/连锁/零售服务,462,0,6,7,11,2,0,0,0,20
47,保安/家政/其他服务,67,0,2,0,1,0,0,0,0,11
48,毕业生类,691,0,0,0,61,4,0,0,0,22
49,其他,705,2,17,2,96,9,0,0,0,81
总体情况【招聘单位总数：570　　招聘职位总数：5833　　 招聘人数总数：41475】,,,,,,,,,,,
