市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2016年09月01日 至 2016年09月30日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,1331,0,13,3,99,5,0,0,0,41
2,计算机软件,79,0,0,0,5,10,0,0,0,2
3,销售管理,1601,2,25,12,161,16,0,0,0,94
4,市场/营销,1857,2,26,15,117,13,0,0,0,53
5,销售人员,5413,11,103,36,223,6,0,0,0,201
6,计算机硬件,15,0,0,0,2,0,0,0,0,1
7,互联网开发及应用,290,0,2,0,37,15,0,0,0,28
8,IT-管理,10,0,0,0,4,1,0,0,0,0
9,IT-品管、技术支持及其它,86,0,0,0,27,2,0,0,0,0
10,通信技术,9,0,0,0,1,2,0,0,0,0
11,电子/电器/半导体/仪器仪表,139,0,0,2,19,11,0,0,0,4
12,财务/审计/税务,287,0,10,4,77,20,0,0,0,26
13,工程/机械/能源,454,0,3,2,37,12,0,0,0,7
14,人力资源,316,0,7,3,103,16,0,0,0,20
15,高级管理,7,0,0,0,2,4,0,0,0,0
16,物流/仓储,334,8,8,5,41,6,0,0,0,30
17,艺术/平面/动画设计,242,0,3,11,32,5,0,0,0,19
18,科研人员,3,0,0,0,0,1,0,0,0,0
19,律师/法务,16,0,0,0,1,4,0,0,0,6
20,教师,395,0,0,2,28,25,0,0,0,0
21,医院/医疗/护理,317,0,2,1,30,3,0,0,0,3
22,咨询/顾问,661,0,13,1,28,2,0,0,0,10
23,交通运输服务,104,3,6,0,4,0,0,0,0,30
24,翻译,5,0,0,0,1,0,0,0,0,0
25,建筑工程/道桥/园艺,310,1,8,3,44,6,0,0,0,19
26,行政/后勤,604,0,14,16,160,23,0,0,0,59
27,客服及技术支持,1053,0,32,25,71,2,0,0,0,23
28,证券/金融/投资,383,0,1,2,18,5,0,0,0,7
29,保险,522,0,11,0,28,3,0,0,0,1
30,生产/营运,417,0,4,10,27,3,0,0,0,6
31,质量体系/安全/环境保护,169,4,0,0,13,3,0,0,0,2
32,技工,1731,21,5,14,11,0,0,0,0,83
33,服装/纺织/皮革,5,1,0,0,0,0,0,0,0,0
34,采购,65,0,0,0,12,8,0,0,0,4
35,贸易,167,0,0,0,10,9,1,0,0,0
36,生物/化工/制药/医疗器械,80,0,0,1,11,0,0,0,0,6
37,广告,41,0,0,2,3,7,0,0,0,5
38,公关/媒介,18,0,0,0,4,2,0,0,0,4
39,影视/媒体,53,0,0,1,9,2,0,0,0,4
40,文字/媒体/写作,57,0,0,0,9,2,0,0,0,1
41,房地产,878,0,6,0,23,4,0,0,0,22
42,物业管理,222,3,8,8,1,0,0,0,0,16
43,餐饮/娱乐,1057,4,6,3,28,0,0,0,0,130
44,酒店/旅游,95,4,0,2,1,0,0,0,0,17
45,美容/保健,362,2,4,1,4,0,0,0,0,11
46,百货/连锁/零售服务,491,0,8,12,20,0,0,0,0,25
47,保安/家政/其他服务,116,0,3,0,1,0,0,0,0,28
48,毕业生类,701,0,0,3,48,10,0,0,0,7
49,其他,510,0,6,0,66,3,2,0,0,46
总体情况【招聘单位总数：437　　招聘职位总数：3686　　 招聘人数总数：24078】,,,,,,,,,,,
