市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2016年08月01日 至 2016年08月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,1904,0,37,3,102,5,0,0,0,59
2,计算机软件,286,0,0,0,29,8,0,0,0,1
3,销售管理,1400,2,23,12,124,9,0,0,0,120
4,市场/营销,1676,2,48,21,102,8,0,0,0,67
5,销售人员,5827,2,131,40,233,7,0,0,0,223
6,计算机硬件,22,0,0,0,3,2,0,0,0,0
7,互联网开发及应用,499,0,0,1,44,3,0,0,0,28
8,IT-管理,13,0,0,0,4,0,0,0,0,2
9,IT-品管、技术支持及其它,62,0,0,0,15,0,0,0,0,4
10,通信技术,103,2,10,0,8,0,0,0,0,6
11,电子/电器/半导体/仪器仪表,62,0,0,1,14,6,0,0,0,0
12,财务/审计/税务,326,3,1,8,126,9,0,0,0,29
13,工程/机械/能源,464,1,4,2,31,4,0,0,0,4
14,人力资源,336,0,8,1,111,17,0,0,0,13
15,高级管理,51,0,0,2,9,9,0,0,0,2
16,物流/仓储,480,4,23,4,25,2,0,0,0,38
17,艺术/平面/动画设计,209,0,0,14,25,0,0,0,0,24
18,科研人员,1,0,0,0,1,0,0,0,0,0
19,教师,397,0,0,4,27,42,0,0,0,2
20,医院/医疗/护理,86,0,0,0,18,0,0,0,0,2
21,咨询/顾问,598,0,11,1,28,1,0,0,0,9
22,交通运输服务,171,8,15,0,0,0,0,0,0,26
23,建筑工程/道桥/园艺,435,0,0,5,48,37,0,0,0,13
24,银行,30,0,0,1,1,0,0,0,0,0
25,行政/后勤,928,2,22,38,168,13,0,0,0,104
26,客服及技术支持,981,0,36,10,56,0,0,0,0,27
27,证券/金融/投资,432,0,0,4,14,5,0,0,0,12
28,保险,416,0,0,0,56,8,0,0,0,4
29,生产/营运,331,2,9,16,27,1,0,0,0,6
30,质量体系/安全/环境保护,429,3,0,3,16,2,0,0,0,3
31,技工,1384,13,9,5,16,0,0,0,0,95
32,采购,36,1,4,1,8,2,0,0,0,0
33,贸易,134,0,0,0,8,2,0,0,0,0
34,生物/化工/制药/医疗器械,50,0,0,0,1,6,2,0,0,1
35,广告,66,0,0,3,8,0,0,0,0,13
36,公关/媒介,4,0,0,0,2,0,0,0,0,0
37,影视/媒体,6,0,0,0,2,0,0,0,0,2
38,文字/媒体/写作,10,0,0,0,3,1,0,0,0,2
39,房地产,1168,0,8,1,37,4,0,0,0,48
40,物业管理,416,4,9,8,62,0,0,0,0,13
41,餐饮/娱乐,1150,13,3,1,21,0,0,0,0,157
42,酒店/旅游,2,0,0,0,1,0,0,0,0,0
43,美容/保健,229,2,3,4,4,0,0,0,0,9
44,百货/连锁/零售服务,511,7,10,5,12,0,0,0,0,33
45,保安/家政/其他服务,140,0,2,0,0,0,0,0,0,32
46,毕业生类,395,0,2,1,38,7,0,0,0,12
47,其他,1194,0,18,9,71,14,0,0,0,68
总体情况【招聘单位总数：420　　招聘职位总数：4054　　 招聘人数总数：25850】,,,,,,,,,,,
