市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2016年05月01日 至 2016年05月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,3,0,0,0,0,1,0,0,0,0
2,计算机软件,318,0,0,0,2,14,0,0,0,26
3,销售管理,3694,3,62,9,314,13,0,0,0,185
4,市场/营销,3296,1,48,7,205,10,0,0,0,181
5,销售人员,10040,7,204,52,389,20,0,0,0,322
6,计算机硬件,19,0,0,0,3,0,0,0,0,3
7,互联网开发及应用,209,0,0,0,24,2,0,0,0,43
8,IT-管理,16,0,0,0,6,0,0,0,0,0
9,IT-品管、技术支持及其它,44,0,0,0,17,3,0,0,0,0
10,通信技术,40,0,8,0,0,0,0,0,0,0
11,电子/电器/半导体/仪器仪表,105,0,2,0,23,15,2,0,0,5
12,财务/审计/税务,333,0,3,5,137,17,0,0,0,31
13,工程/机械/能源,296,4,2,7,32,25,0,0,0,16
14,人力资源,479,1,3,0,117,17,0,0,0,39
15,高级管理,15,0,0,0,6,0,0,0,0,7
16,物流/仓储,303,2,24,12,19,1,0,0,0,30
17,艺术/平面/动画设计,349,0,1,12,55,3,0,0,0,42
18,科研人员,46,0,0,0,2,5,0,0,0,0
19,律师/法务,34,0,0,0,5,2,0,0,0,10
20,教师,368,0,0,0,21,40,3,0,0,6
21,医院/医疗/护理,143,0,1,0,12,3,0,0,0,6
22,咨询/顾问,749,2,2,0,64,1,0,0,0,20
23,交通运输服务,434,29,4,0,2,0,0,0,0,42
24,翻译,11,0,0,0,0,0,0,0,0,7
25,建筑工程/道桥/园艺,315,1,3,7,31,3,0,0,0,17
26,行政/后勤,1236,2,24,16,240,27,0,0,0,138
27,客服及技术支持,1230,1,18,7,94,1,0,0,0,56
28,证券/金融/投资,731,0,0,6,18,1,0,0,0,28
29,保险,267,0,0,0,3,0,0,0,0,13
30,生产/营运,89,1,4,6,13,2,0,0,0,9
31,质量体系/安全/环境保护,45,0,1,0,7,3,0,0,0,10
32,技工,827,40,36,5,17,0,0,0,0,77
33,采购,38,0,0,1,15,0,0,0,0,10
34,贸易,27,0,0,0,4,1,0,0,0,3
35,生物/化工/制药/医疗器械,334,0,4,0,16,0,0,0,0,10
36,广告,16,0,0,1,2,0,0,0,0,0
37,公关/媒介,11,0,0,0,2,1,0,0,0,2
38,影视/媒体,8,0,2,0,0,2,0,0,0,2
39,文字/媒体/写作,40,0,0,0,6,1,0,0,0,3
40,房地产,429,0,6,0,9,0,0,0,0,18
41,物业管理,326,0,0,36,12,0,0,0,0,15
42,餐饮/娱乐,2978,0,1,0,16,0,0,0,0,134
43,酒店/旅游,39,0,0,0,7,0,0,0,0,6
44,美容/保健,179,2,2,2,3,0,0,0,0,12
45,百货/连锁/零售服务,233,0,3,0,11,0,0,0,0,21
46,保安/家政/其他服务,102,0,0,3,1,0,0,0,0,16
47,毕业生类,600,0,0,3,29,15,0,0,0,15
48,其他,789,2,13,6,68,11,0,0,0,69
总体情况【招聘单位总数：493　　招聘职位总数：4833　　 招聘人数总数：32233】,,,,,,,,,,,
