市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2018年03月01日 至 2018年03月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
2,计算机软件,178,0,0,2,19,17,0,0,0,8
3,销售管理,6077,2,72,49,523,57,0,0,0,251
4,市场/营销,7460,0,68,48,398,46,0,0,0,272
5,销售人员,13253,16,128,73,578,17,0,0,0,453
6,计算机硬件,73,0,1,0,13,4,0,0,0,2
7,互联网开发及应用,408,0,4,0,73,6,0,0,0,8
8,IT-管理,20,0,0,0,8,3,0,0,0,3
9,IT-品管、技术支持及其它,169,0,1,2,41,30,0,0,0,6
10,通信技术,75,0,0,1,6,2,0,0,0,0
11,电子/电器/半导体/仪器仪表,2696,3,7,11,61,13,0,0,0,95
12,财务/审计/税务,1330,0,15,14,480,44,0,0,0,113
13,工程/机械/能源,1253,2,8,34,95,72,2,0,0,57
14,人力资源,1313,0,35,6,300,39,0,0,0,103
15,高级管理,137,0,6,0,47,25,2,0,0,7
16,物流/仓储,1752,11,78,57,95,7,0,0,0,156
17,艺术/平面/动画设计,751,0,0,15,197,10,0,0,0,43
18,科研人员,23,0,0,0,4,2,2,0,0,0
19,律师/法务,25,0,0,0,1,5,0,0,0,8
20,教师,398,0,0,1,27,49,0,0,0,9
21,医院/医疗/护理,240,2,2,1,27,2,0,0,0,17
22,咨询/顾问,1448,2,26,6,75,1,0,0,0,39
23,交通运输服务,626,28,21,13,4,0,0,0,0,86
24,翻译,19,0,0,0,1,5,0,0,0,0
25,建筑工程/道桥/园艺,2726,5,5,48,180,55,0,0,0,116
26,银行,287,0,7,0,13,2,0,0,0,2
27,行政/后勤,2456,2,56,26,614,52,0,0,0,195
28,客服及技术支持,3011,3,61,45,143,7,0,0,0,110
29,证券/金融/投资,902,0,7,0,33,0,0,0,0,16
30,保险,1514,0,21,0,63,33,0,0,0,9
31,生产/营运,958,40,20,1,96,15,0,0,0,28
32,质量体系/安全/环境保护,361,3,12,11,74,13,0,0,0,16
33,技工,8459,86,88,29,33,0,0,0,0,384
34,采购,227,0,0,19,67,8,0,0,0,17
35,贸易,467,0,5,1,55,12,0,0,0,14
36,生物/化工/制药/医疗器械,239,0,0,3,30,10,3,1,0,2
37,广告,97,0,0,0,14,7,0,0,0,12
38,公关/媒介,18,0,0,0,2,1,0,0,0,5
39,影视/媒体,67,0,0,2,23,2,0,0,0,5
40,文字/媒体/写作,66,0,0,0,18,8,0,0,0,4
41,房地产,3324,0,23,2,10,4,0,0,0,95
42,物业管理,1218,6,56,6,52,1,0,0,0,101
43,餐饮/娱乐,1882,27,12,8,25,7,0,0,0,190
44,酒店/旅游,779,7,19,8,46,1,0,0,0,71
45,美容/保健,818,6,8,7,8,0,0,0,0,80
46,百货/连锁/零售服务,966,0,16,22,28,2,0,0,0,55
47,保安/家政/其他服务,1017,18,10,2,17,0,0,0,0,48
48,毕业生类,1012,0,0,11,79,5,0,0,0,25
49,其他,4806,70,60,8,260,46,4,3,0,262
总体情况【招聘单位总数：950　　招聘职位总数：11926　　 招聘人数总数：82325】,,,,,,,,,,,
