市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2018年06月01日 至 2018年06月30日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
2,计算机软件,34,0,0,0,4,5,0,0,0,2
3,销售管理,1343,0,11,13,134,22,0,0,0,117
4,市场/营销,2136,5,34,18,98,28,1,0,0,119
5,销售人员,4693,2,55,34,184,10,0,0,0,252
6,计算机硬件,13,0,0,0,1,0,0,0,0,4
7,互联网开发及应用,108,0,0,0,34,2,0,0,0,8
8,IT-管理,28,0,0,0,12,0,0,0,0,2
9,IT-品管、技术支持及其它,484,0,7,0,15,0,0,0,0,17
10,通信技术,12,0,0,1,0,0,0,0,0,1
11,电子/电器/半导体/仪器仪表,161,2,0,2,23,1,0,0,0,5
12,财务/审计/税务,227,0,2,6,87,8,0,0,0,34
13,工程/机械/能源,666,0,2,19,57,19,0,0,0,39
14,人力资源,217,0,6,0,69,5,0,0,0,39
15,高级管理,23,0,0,0,8,2,0,0,0,2
16,物流/仓储,326,24,40,6,12,0,0,0,0,33
17,艺术/平面/动画设计,159,0,1,9,35,6,0,0,0,13
18,科研人员,28,0,0,0,0,8,0,0,0,0
19,律师/法务,43,0,0,0,2,7,0,0,0,0
20,教师,207,0,1,0,19,19,0,0,0,5
21,医院/医疗/护理,12,0,0,0,4,0,0,0,0,0
22,咨询/顾问,405,0,0,0,21,8,0,0,0,23
23,交通运输服务,121,1,3,1,0,0,0,0,0,20
24,翻译,3,0,0,0,0,1,0,0,0,0
25,建筑工程/道桥/园艺,1003,0,11,12,117,17,0,0,0,31
26,银行,101,0,2,0,7,0,0,0,0,0
27,行政/后勤,943,0,7,25,186,17,0,0,0,91
28,客服及技术支持,988,1,8,9,56,0,0,0,0,38
29,证券/金融/投资,160,0,0,0,23,0,0,0,0,1
30,保险,176,0,4,0,13,3,0,0,0,5
31,生产/营运,280,3,7,1,8,0,0,0,0,3
32,质量体系/安全/环境保护,100,0,6,12,18,0,0,0,0,3
33,技工,2075,31,67,30,5,0,0,0,0,90
34,服装/纺织/皮革,150,0,0,0,0,0,0,0,0,3
35,采购,51,0,4,12,12,0,0,0,0,4
36,贸易,24,0,0,0,3,9,0,0,0,1
37,生物/化工/制药/医疗器械,157,0,0,2,19,2,4,0,0,7
38,广告,81,0,0,9,22,5,0,0,0,3
39,公关/媒介,4,0,0,0,1,0,0,0,0,2
40,影视/媒体,31,0,0,1,1,0,0,0,0,4
41,文字/媒体/写作,36,0,0,2,4,1,0,0,0,4
42,房地产,2577,0,12,6,14,16,0,0,0,68
43,物业管理,269,6,14,0,17,0,0,0,0,27
44,餐饮/娱乐,2266,44,11,6,14,0,0,0,0,180
45,酒店/旅游,151,0,0,0,12,0,0,0,0,43
46,美容/保健,83,5,1,6,0,0,0,0,0,0
47,百货/连锁/零售服务,369,7,13,3,12,0,0,0,0,13
48,保安/家政/其他服务,644,5,36,0,0,0,0,0,0,23
49,毕业生类,424,0,5,0,20,3,0,0,0,17
50,其他,503,6,8,4,35,2,0,0,0,50
总体情况【招聘单位总数：480　　招聘职位总数：4061　　 招聘人数总数：26621】,,,,,,,,,,,
