市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2018年07月01日 至 2018年07月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
2,计算机软件,127,0,0,1,11,21,2,0,0,2
3,销售管理,1381,0,9,29,152,20,0,0,0,86
4,市场/营销,2494,1,51,5,119,19,1,0,0,96
5,销售人员,3649,1,45,55,153,8,0,0,0,182
6,计算机硬件,33,0,0,4,1,2,0,0,0,2
7,互联网开发及应用,45,0,0,1,22,3,0,0,0,0
8,IT-管理,54,0,0,0,9,1,0,0,0,8
9,IT-品管、技术支持及其它,82,0,0,0,12,4,0,0,0,0
10,通信技术,51,0,0,1,3,0,0,0,0,0
11,电子/电器/半导体/仪器仪表,108,2,0,4,22,2,0,0,0,6
12,财务/审计/税务,230,0,3,5,84,17,0,0,0,24
13,工程/机械/能源,463,0,1,13,44,26,0,0,0,14
14,人力资源,151,0,2,0,43,10,0,0,0,22
15,高级管理,7,0,0,0,0,3,1,0,0,2
16,物流/仓储,417,14,37,7,15,0,0,0,0,67
17,艺术/平面/动画设计,166,0,0,7,21,6,0,0,0,12
18,科研人员,32,0,0,0,0,7,1,0,0,0
19,律师/法务,4,0,0,0,0,3,0,0,0,0
20,教师,560,0,4,0,12,16,1,1,0,4
21,医院/医疗/护理,35,0,1,0,3,0,0,0,0,5
22,咨询/顾问,185,0,1,0,8,1,0,0,0,19
23,交通运输服务,117,6,3,2,1,0,0,0,0,23
24,建筑工程/道桥/园艺,815,0,0,5,135,24,0,0,0,38
25,银行,195,0,2,0,11,0,0,0,0,0
26,行政/后勤,531,2,7,20,130,13,1,0,0,41
27,客服及技术支持,1016,4,20,5,39,0,0,0,0,26
28,证券/金融/投资,67,0,1,0,4,1,0,0,0,0
29,保险,63,0,6,0,3,0,0,0,0,0
30,生产/营运,291,1,3,3,22,2,0,0,0,8
31,质量体系/安全/环境保护,90,1,2,7,21,3,0,0,0,1
32,技工,1099,13,26,15,3,1,0,0,0,108
33,服装/纺织/皮革,124,0,0,0,0,0,0,0,0,5
34,采购,38,0,0,9,11,3,0,0,0,1
35,贸易,48,0,1,0,8,7,0,0,0,0
36,生物/化工/制药/医疗器械,154,0,0,0,8,11,9,0,0,12
37,广告,51,0,1,7,15,3,0,0,0,0
38,公关/媒介,13,0,1,0,0,1,0,0,0,0
39,影视/媒体,407,0,1,0,8,1,0,0,0,0
40,文字/媒体/写作,15,0,0,0,3,0,0,0,0,6
41,房地产,674,0,2,0,11,3,0,0,0,28
42,物业管理,117,0,7,0,11,0,0,0,0,19
43,餐饮/娱乐,2178,4,9,0,14,0,0,0,0,181
44,酒店/旅游,66,7,0,0,7,0,0,0,0,9
45,美容/保健,141,2,3,0,4,0,0,0,0,3
46,百货/连锁/零售服务,767,1,7,6,9,0,0,0,0,34
47,保安/家政/其他服务,152,0,0,0,0,0,0,0,0,41
48,毕业生类,446,0,0,1,18,8,1,1,0,20
49,其他,1010,4,7,3,42,4,0,0,0,47
总体情况【招聘单位总数：433　　招聘职位总数：3403　　 招聘人数总数：22104】,,,,,,,,,,,
