市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2018年04月01日 至 2018年04月30日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
2,计算机软件,46,0,0,0,7,1,0,0,0,4
3,销售管理,1052,0,14,4,117,12,0,0,0,77
4,市场/营销,1401,6,15,12,72,23,0,0,0,68
5,销售人员,3918,5,43,16,74,2,0,0,0,180
6,计算机硬件,12,0,0,0,4,0,0,0,0,2
7,互联网开发及应用,50,0,0,0,13,6,0,0,0,3
8,IT-管理,3,0,0,0,3,0,0,0,0,0
9,IT-品管、技术支持及其它,84,0,0,0,12,2,0,0,0,4
10,通信技术,66,0,2,0,1,1,0,0,0,8
11,电子/电器/半导体/仪器仪表,265,0,1,2,14,5,0,0,0,5
12,财务/审计/税务,282,0,6,8,100,4,0,0,0,42
13,工程/机械/能源,558,1,2,12,37,22,3,0,0,30
14,人力资源,169,0,7,0,48,5,0,0,0,17
15,高级管理,20,0,0,0,3,4,0,0,0,2
16,物流/仓储,339,6,11,15,13,0,0,0,0,35
17,艺术/平面/动画设计,183,0,0,8,50,4,0,0,0,10
18,科研人员,6,0,0,0,0,3,0,0,0,0
19,律师/法务,14,0,0,0,0,7,0,0,0,0
20,教师,105,0,0,1,6,9,2,0,0,2
21,医院/医疗/护理,113,0,1,0,2,0,0,0,0,15
22,咨询/顾问,366,0,5,1,20,3,0,0,0,12
23,交通运输服务,41,3,1,1,1,0,0,0,0,7
24,建筑工程/道桥/园艺,538,2,0,14,58,9,0,0,0,36
25,银行,189,0,11,3,0,0,0,0,0,1
26,行政/后勤,365,1,16,6,85,13,0,0,0,43
27,客服及技术支持,727,0,9,9,44,3,0,0,0,40
28,证券/金融/投资,148,0,3,0,25,1,0,0,0,3
29,保险,320,0,8,0,30,2,0,0,0,3
30,生产/营运,157,2,0,4,15,1,0,0,0,5
31,质量体系/安全/环境保护,55,0,4,4,8,3,0,0,0,2
32,技工,1550,21,31,8,8,0,0,0,0,73
33,服装/纺织/皮革,20,0,0,0,2,0,0,0,0,0
34,采购,42,0,0,5,12,1,0,0,0,4
35,贸易,27,0,1,0,3,3,0,0,0,2
36,生物/化工/制药/医疗器械,71,0,0,3,11,0,0,0,0,7
37,广告,8,0,0,0,4,0,0,0,0,1
38,公关/媒介,5,0,0,0,3,1,0,0,0,0
39,影视/媒体,39,0,1,4,2,3,0,0,0,3
40,文字/媒体/写作,39,0,0,0,14,6,0,0,0,2
41,房地产,426,0,3,2,5,0,0,0,0,14
42,物业管理,143,0,5,0,4,0,0,0,0,22
43,餐饮/娱乐,606,4,3,0,11,0,0,0,0,61
44,酒店/旅游,239,0,0,0,0,0,0,0,0,30
45,美容/保健,23,0,1,0,1,0,0,0,0,1
46,百货/连锁/零售服务,240,1,9,12,3,0,0,0,0,19
47,保安/家政/其他服务,96,0,1,0,0,0,0,0,0,12
48,毕业生类,334,0,0,3,23,1,0,0,0,15
49,其他,777,5,11,4,35,10,0,0,0,45
总体情况【招聘单位总数：390　　招聘职位总数：2774　　 招聘人数总数：18008】,,,,,,,,,,,
