市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2018年02月01日 至 2018年02月28日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
2,计算机软件,52,0,0,0,13,5,0,0,0,6
3,销售管理,1404,2,12,12,111,21,0,0,0,85
4,市场/营销,1520,2,22,6,117,5,0,0,0,72
5,销售人员,2453,0,22,16,108,1,0,0,0,129
6,互联网开发及应用,50,0,0,2,14,3,0,0,0,2
7,IT-管理,12,0,0,0,6,2,0,0,0,0
8,IT-品管、技术支持及其它,71,0,0,0,15,2,0,0,0,6
9,通信技术,6,0,0,0,2,0,0,0,0,0
10,电子/电器/半导体/仪器仪表,819,0,2,2,13,6,0,0,0,32
11,财务/审计/税务,302,0,2,6,114,21,0,0,0,34
12,工程/机械/能源,424,0,2,12,35,25,0,0,0,14
13,人力资源,273,0,6,0,76,20,0,0,0,11
14,高级管理,29,0,0,0,6,7,0,0,0,2
15,物流/仓储,535,5,33,14,21,2,0,0,0,65
16,艺术/平面/动画设计,306,0,0,6,74,2,0,0,0,16
17,科研人员,16,0,0,0,4,0,0,0,0,0
18,律师/法务,4,0,0,0,2,0,0,0,0,0
19,教师,257,0,0,1,6,34,1,0,0,3
20,医院/医疗/护理,98,1,0,0,15,0,0,0,0,2
21,咨询/顾问,270,1,3,3,10,4,0,0,0,9
22,交通运输服务,156,5,5,4,0,0,0,0,0,20
23,建筑工程/道桥/园艺,685,0,1,7,48,13,0,0,0,18
24,银行,40,0,0,0,4,0,0,0,0,0
25,行政/后勤,535,0,15,2,162,19,0,0,0,51
26,客服及技术支持,921,4,28,7,58,2,0,0,0,24
27,证券/金融/投资,114,0,0,1,9,0,0,0,0,0
28,保险,386,0,6,0,20,4,0,0,0,0
29,生产/营运,189,10,10,0,27,2,0,0,0,12
30,质量体系/安全/环境保护,113,0,8,13,17,1,0,0,0,5
31,技工,2606,40,24,5,22,0,0,0,0,141
32,采购,75,0,2,2,24,4,0,0,0,7
33,贸易,115,0,3,0,12,0,0,0,0,7
34,生物/化工/制药/医疗器械,80,0,0,1,5,4,1,0,0,0
35,广告,46,0,0,0,8,1,0,0,0,9
36,公关/媒介,2,0,0,0,0,0,0,0,0,1
37,影视/媒体,15,0,0,0,4,2,0,0,0,0
38,文字/媒体/写作,30,0,0,0,4,3,0,0,0,2
39,房地产,560,0,1,4,7,0,0,0,0,16
40,物业管理,161,0,6,2,12,2,0,0,0,11
41,餐饮/娱乐,818,2,16,4,5,3,0,0,0,96
42,酒店/旅游,187,2,1,0,23,0,0,0,0,26
43,美容/保健,191,0,0,0,2,0,0,0,0,22
44,百货/连锁/零售服务,305,3,20,2,6,0,0,0,0,7
45,保安/家政/其他服务,281,4,0,1,0,0,0,0,0,11
46,毕业生类,196,0,0,4,16,1,0,0,0,5
47,其他,1021,21,15,1,41,13,2,0,0,57
总体情况【招聘单位总数：320　　招聘职位总数：3257　　 招聘人数总数：19827】,,,,,,,,,,,
