市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2018年08月01日 至 2018年08月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
2,计算机软件,132,0,2,0,14,15,0,0,0,2
3,销售管理,1298,1,9,21,94,5,0,0,0,117
4,市场/营销,2169,2,47,4,111,7,0,0,0,119
5,销售人员,4572,2,52,45,157,1,0,0,0,240
6,计算机硬件,40,0,0,4,0,0,0,0,0,0
7,互联网开发及应用,50,0,1,1,18,2,0,0,0,8
8,IT-管理,42,0,0,0,8,0,0,0,0,2
9,IT-品管、技术支持及其它,21,0,1,0,6,0,0,0,0,1
10,通信技术,86,0,0,6,3,0,0,0,0,2
11,电子/电器/半导体/仪器仪表,432,0,0,25,50,12,0,0,0,7
12,财务/审计/税务,305,0,7,6,84,29,0,0,0,25
13,工程/机械/能源,354,1,8,15,36,11,0,0,0,18
14,人力资源,206,0,5,0,41,7,0,0,0,33
15,高级管理,17,0,0,0,2,1,0,0,0,4
16,物流/仓储,451,16,27,4,12,1,0,0,0,96
17,艺术/平面/动画设计,100,0,1,6,27,1,0,0,0,11
18,科研人员,10,0,0,0,0,2,0,0,0,0
19,律师/法务,3,0,0,0,2,1,0,0,0,0
20,教师,287,0,4,0,30,17,0,0,0,13
21,医院/医疗/护理,85,0,0,3,4,4,0,0,0,0
22,咨询/顾问,124,0,1,1,10,1,0,0,0,11
23,交通运输服务,675,7,3,1,2,0,0,0,0,41
24,建筑工程/道桥/园艺,949,0,0,9,115,17,0,0,0,56
25,银行,32,0,0,0,3,0,0,0,0,0
26,行政/后勤,516,0,17,14,128,4,0,0,0,35
27,客服及技术支持,1001,0,15,13,32,0,0,0,0,38
28,证券/金融/投资,168,0,0,0,6,9,0,0,0,2
29,保险,181,0,2,0,22,2,0,0,0,6
30,生产/营运,687,7,8,7,22,0,0,0,0,17
31,质量体系/安全/环境保护,122,2,7,4,29,1,0,0,0,1
32,技工,1374,22,22,7,2,0,0,0,0,137
33,服装/纺织/皮革,100,0,0,0,0,0,0,0,0,5
34,采购,63,0,1,7,10,0,0,0,0,5
35,贸易,26,1,0,0,5,1,0,0,0,1
36,生物/化工/制药/医疗器械,161,0,2,4,13,2,4,0,0,4
37,广告,63,0,0,7,15,8,0,0,0,2
38,公关/媒介,8,0,0,0,2,0,0,0,0,1
39,影视/媒体,2,0,0,0,0,0,0,0,0,1
40,文字/媒体/写作,20,0,0,0,4,0,0,0,0,10
41,房地产,1349,0,11,0,41,0,0,0,0,30
42,物业管理,183,0,11,0,6,0,0,0,0,23
43,餐饮/娱乐,928,11,10,5,6,0,0,0,0,106
44,酒店/旅游,149,0,8,0,16,0,0,0,0,29
45,美容/保健,553,0,0,0,0,0,0,0,0,23
46,百货/连锁/零售服务,2966,62,27,16,30,0,0,0,0,41
47,保安/家政/其他服务,230,1,1,0,0,0,0,0,0,56
48,毕业生类,461,0,0,6,17,15,0,0,0,16
49,其他,667,6,11,5,42,4,0,0,0,63
总体情况【招聘单位总数：411　　招聘职位总数：3777　　 招聘人数总数：26470】,,,,,,,,,,,
