市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2017年12月01日 至 2017年12月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,398,0,5,4,27,1,0,0,0,16
2,计算机软件,224,0,0,2,30,3,0,0,0,0
3,销售管理,1196,0,3,10,47,7,0,0,0,52
4,市场/营销,445,0,5,12,46,0,0,0,0,27
5,销售人员,1445,3,13,14,58,2,0,0,0,60
6,计算机硬件,12,0,0,1,0,2,0,0,0,0
7,互联网开发及应用,195,0,0,0,2,4,0,0,0,6
8,IT-管理,1,0,0,0,1,0,0,0,0,0
9,IT-品管、技术支持及其它,1,0,0,0,1,0,0,0,0,0
10,电子/电器/半导体/仪器仪表,167,0,0,3,8,4,0,0,0,16
11,财务/审计/税务,127,0,0,0,44,6,0,0,0,16
12,工程/机械/能源,298,0,5,13,25,3,0,0,0,4
13,人力资源,109,0,3,0,25,9,0,0,0,5
14,高级管理,69,0,0,0,2,2,0,0,0,3
15,物流/仓储,119,0,14,7,10,0,0,0,0,14
16,艺术/平面/动画设计,185,0,0,12,36,2,0,0,0,12
17,科研人员,28,0,0,0,4,1,0,0,0,2
18,律师/法务,1,0,0,0,0,1,0,0,0,0
19,教师,102,0,1,0,0,14,0,0,0,8
20,医院/医疗/护理,91,0,13,0,9,0,0,0,0,1
21,咨询/顾问,54,0,0,1,2,0,0,0,0,3
22,交通运输服务,79,2,2,0,0,0,0,0,0,14
23,翻译,3,0,0,0,0,1,0,0,0,0
24,建筑工程/道桥/园艺,222,0,0,3,18,13,0,0,0,4
25,银行,64,0,0,2,7,0,0,0,0,1
26,行政/后勤,231,0,16,3,31,12,0,0,0,35
27,客服及技术支持,333,0,16,3,23,0,0,0,0,10
28,证券/金融/投资,90,0,0,1,3,2,0,0,0,1
29,保险,37,0,0,0,11,0,0,0,0,0
30,生产/营运,83,2,1,1,13,1,0,0,0,7
31,质量体系/安全/环境保护,41,0,3,1,5,2,0,0,0,0
32,技工,594,14,11,1,2,0,0,0,0,41
33,采购,12,0,0,0,3,0,0,0,0,2
34,贸易,35,0,0,1,3,0,0,0,0,0
35,生物/化工/制药/医疗器械,50,0,3,0,13,0,1,0,0,3
36,广告,1,0,0,0,1,0,0,0,0,0
37,公关/媒介,32,0,0,0,3,0,0,0,0,2
38,文字/媒体/写作,35,0,0,0,3,4,0,0,0,2
39,房地产,646,0,1,0,4,0,0,0,0,14
40,物业管理,187,0,7,0,1,0,0,0,0,19
41,餐饮/娱乐,642,6,1,0,2,0,0,0,0,69
42,酒店/旅游,4,0,0,0,0,0,0,0,0,1
43,美容/保健,50,0,0,0,0,0,0,0,0,4
44,百货/连锁/零售服务,377,10,7,0,1,0,0,0,0,32
45,保安/家政/其他服务,112,0,1,0,0,0,0,0,0,11
46,毕业生类,38,0,0,0,6,0,0,0,0,0
47,其他,248,10,4,5,5,2,0,0,0,19
总体情况【招聘单位总数：207　　招聘职位总数：1452　　 招聘人数总数：9513】,,,,,,,,,,,
