市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2017年10月01日 至 2017年10月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,851,0,16,3,60,3,0,0,0,42
2,计算机软件,421,0,0,0,21,32,6,0,0,3
3,销售管理,983,0,7,9,79,20,0,0,0,39
4,市场/营销,1175,0,9,5,67,50,0,0,0,34
5,销售人员,2214,4,24,12,90,37,0,0,0,96
6,计算机硬件,50,0,0,0,0,10,1,0,0,1
7,互联网开发及应用,188,0,0,0,10,21,0,1,0,10
8,IT-管理,12,0,0,0,1,1,1,0,0,0
9,IT-品管、技术支持及其它,118,0,0,0,7,8,0,0,0,3
10,通信技术,15,0,0,1,1,3,0,0,0,1
11,电子/电器/半导体/仪器仪表,1480,0,3,5,51,83,22,0,0,17
12,财务/审计/税务,428,0,4,0,105,44,1,0,0,20
13,工程/机械/能源,1921,2,0,18,69,152,10,1,0,25
14,人力资源,275,0,6,1,60,36,1,0,0,16
15,高级管理,25,0,0,0,4,1,1,0,0,0
16,物流/仓储,224,8,15,10,13,11,0,0,0,24
17,艺术/平面/动画设计,287,0,0,12,40,8,8,0,0,12
18,科研人员,249,0,0,0,1,9,4,2,0,1
19,律师/法务,37,0,0,0,2,9,2,0,0,9
20,教师,985,0,0,0,16,28,67,37,0,0
21,医院/医疗/护理,241,0,2,0,4,22,13,4,0,1
22,咨询/顾问,360,0,0,0,29,10,2,0,0,2
23,交通运输服务,129,3,2,0,1,0,0,0,0,18
24,翻译,38,0,0,0,0,11,0,0,0,0
25,建筑工程/道桥/园艺,1161,2,1,13,59,31,1,0,0,40
26,银行,67,0,1,1,8,0,0,0,0,0
27,行政/后勤,446,0,18,5,93,34,3,0,0,41
28,客服及技术支持,589,0,16,5,31,7,0,0,0,13
29,证券/金融/投资,65,0,2,0,0,8,1,0,0,2
30,保险,229,0,0,0,23,3,0,0,0,3
31,生产/营运,401,3,1,0,31,26,2,0,0,19
32,质量体系/安全/环境保护,310,0,2,1,28,32,0,0,0,8
33,技工,830,11,13,5,15,0,0,0,0,56
34,服装/纺织/皮革,48,0,0,0,0,5,0,0,0,7
35,采购,69,0,2,1,12,4,3,0,0,2
36,贸易,194,0,0,0,11,16,0,0,0,4
37,生物/化工/制药/医疗器械,392,0,0,0,17,35,18,2,0,1
38,广告,21,0,0,0,7,0,0,0,0,2
39,公关/媒介,7,0,0,0,1,0,0,0,0,1
40,影视/媒体,42,0,2,0,6,3,0,0,0,0
41,文字/媒体/写作,3,0,0,0,0,1,0,0,0,1
42,房地产,390,0,1,0,3,2,0,0,0,6
43,物业管理,212,1,8,0,5,0,0,0,0,32
44,餐饮/娱乐,481,6,17,0,6,0,0,0,0,38
45,酒店/旅游,71,2,4,2,5,0,0,0,0,4
46,美容/保健,260,10,7,0,0,0,0,0,0,0
47,百货/连锁/零售服务,337,2,10,0,7,2,0,0,0,22
48,保安/家政/其他服务,132,3,0,0,3,0,0,0,0,5
49,毕业生类,2061,0,0,0,65,69,1,0,0,8
50,其他,1872,11,4,2,70,58,26,1,0,59
总体情况【招聘单位总数：581　　招聘职位总数：3552　　 招聘人数总数：23396】,,,,,,,,,,,
