市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2017年11月01日 至 2017年11月30日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,427,0,1,2,30,0,0,0,0,16
2,计算机软件,203,0,0,0,27,2,0,0,0,4
3,销售管理,614,0,8,8,54,7,0,0,0,37
4,市场/营销,901,0,12,3,42,9,0,0,0,50
5,销售人员,1833,1,14,34,82,2,0,0,0,75
6,计算机硬件,4,0,0,0,0,1,0,0,0,1
7,互联网开发及应用,112,0,0,0,9,0,0,0,0,5
8,IT-管理,6,0,0,0,2,2,0,0,0,1
9,IT-品管、技术支持及其它,42,0,1,0,4,0,0,0,0,1
10,电子/电器/半导体/仪器仪表,200,1,0,1,15,6,0,0,0,7
11,财务/审计/税务,237,0,3,2,74,7,0,0,0,12
12,工程/机械/能源,366,0,0,16,16,20,0,0,0,12
13,人力资源,153,0,3,0,26,6,0,0,0,15
14,高级管理,11,0,0,0,4,6,0,0,0,1
15,物流/仓储,121,1,15,1,4,1,0,0,0,24
16,艺术/平面/动画设计,143,0,0,15,19,0,0,0,0,12
17,科研人员,50,0,0,0,0,2,0,0,0,1
18,律师/法务,8,0,0,0,0,0,0,0,0,4
19,教师,99,0,0,0,7,2,0,0,0,0
20,医院/医疗/护理,74,0,0,2,4,0,0,0,0,0
21,咨询/顾问,102,0,0,0,13,14,0,0,0,3
22,交通运输服务,133,0,4,0,0,0,0,0,0,11
23,翻译,6,0,0,0,0,2,0,0,0,0
24,建筑工程/道桥/园艺,423,2,0,6,33,14,0,0,0,8
25,银行,266,0,0,6,3,0,0,0,0,0
26,行政/后勤,321,1,17,5,51,17,0,0,0,37
27,客服及技术支持,983,0,24,10,27,0,0,0,0,7
28,证券/金融/投资,36,0,0,0,5,0,0,0,0,0
29,保险,237,0,0,0,23,7,0,0,0,0
30,生产/营运,194,0,0,0,9,3,0,0,0,13
31,质量体系/安全/环境保护,45,0,4,1,15,2,0,0,0,0
32,技工,798,13,15,9,2,0,0,0,0,56
33,服装/纺织/皮革,2,0,0,2,0,0,0,0,0,0
34,采购,8,0,0,0,3,0,0,0,0,0
35,贸易,48,0,0,0,8,3,0,0,0,1
36,生物/化工/制药/医疗器械,43,0,0,0,2,2,2,0,0,3
37,广告,4,0,0,0,2,0,0,0,0,0
38,公关/媒介,10,0,0,0,3,0,0,0,0,1
39,影视/媒体,46,0,0,0,6,0,0,0,0,0
40,文字/媒体/写作,15,0,0,0,1,8,0,0,0,0
41,房地产,526,0,0,0,1,0,0,0,0,16
42,物业管理,170,1,8,0,0,0,0,0,0,29
43,餐饮/娱乐,956,6,9,4,4,0,0,0,0,91
44,酒店/旅游,74,1,4,0,9,2,0,0,0,10
45,美容/保健,4,0,0,1,0,2,0,0,0,0
46,百货/连锁/零售服务,329,1,8,2,3,0,0,0,0,2
47,保安/家政/其他服务,310,0,0,0,0,0,0,0,0,19
48,毕业生类,202,0,0,0,8,5,0,0,0,8
49,其他,731,13,4,3,36,9,0,0,0,29
总体情况【招聘单位总数：267　　招聘职位总数：1803　　 招聘人数总数：12626】,,,,,,,,,,,
