市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2017年04月01日 至 2017年04月30日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,3871,0,35,7,127,0,0,0,0,41
2,计算机软件,46,0,0,0,9,10,0,0,0,0
3,销售管理,2693,3,22,15,179,16,0,0,0,96
4,市场/营销,1859,1,51,18,87,5,1,0,0,89
5,销售人员,4783,0,77,25,160,1,0,0,0,171
6,计算机硬件,16,0,0,0,7,2,0,0,0,0
7,互联网开发及应用,96,0,0,0,26,2,0,0,0,5
8,IT-管理,8,0,0,0,4,0,0,0,0,0
9,IT-品管、技术支持及其它,133,0,1,2,11,1,0,0,0,28
10,通信技术,29,0,0,0,1,1,0,0,0,2
11,电子/电器/半导体/仪器仪表,158,1,2,1,16,4,0,0,0,0
12,财务/审计/税务,343,0,4,5,101,8,0,0,0,51
13,工程/机械/能源,285,0,2,4,19,43,5,0,0,33
14,人力资源,512,0,5,0,121,6,0,0,0,16
15,高级管理,22,0,0,0,11,2,0,0,0,0
16,物流/仓储,305,3,21,3,18,0,0,0,0,32
17,艺术/平面/动画设计,210,0,4,6,34,1,0,0,0,23
18,科研人员,2,0,0,0,0,2,0,0,0,0
19,律师/法务,16,0,0,0,1,0,0,0,0,7
20,教师,417,0,4,0,11,31,0,0,0,3
21,医院/医疗/护理,438,0,0,0,2,0,0,0,0,8
22,咨询/顾问,588,0,13,3,21,0,0,0,0,8
23,交通运输服务,113,4,10,0,0,0,0,0,0,17
24,翻译,6,0,0,0,0,3,0,0,0,0
25,建筑工程/道桥/园艺,443,0,4,5,80,14,0,0,0,28
26,行政/后勤,1082,0,19,16,146,16,0,0,0,77
27,客服及技术支持,978,0,28,17,72,2,0,0,0,32
28,证券/金融/投资,109,0,0,0,3,3,0,0,0,4
29,保险,399,0,17,0,14,4,0,0,0,7
30,生产/营运,226,5,4,2,16,4,0,0,0,10
31,质量体系/安全/环境保护,87,0,2,4,9,1,0,0,0,7
32,技工,902,17,14,17,0,0,0,0,0,34
33,服装/纺织/皮革,3,0,2,0,1,0,0,0,0,0
34,采购,14,0,1,1,4,0,0,0,0,2
35,贸易,135,0,0,0,6,5,0,0,0,2
36,生物/化工/制药/医疗器械,49,0,0,0,6,6,0,0,0,0
37,广告,68,0,0,0,5,0,0,0,0,18
38,公关/媒介,38,0,0,4,2,0,0,0,0,0
39,影视/媒体,3,0,0,0,0,0,0,0,0,2
40,文字/媒体/写作,44,0,0,0,6,1,0,0,0,15
41,房地产,1095,0,0,1,12,0,0,0,0,25
42,物业管理,132,0,7,0,2,1,0,0,0,12
43,餐饮/娱乐,412,3,2,1,8,0,0,0,0,53
44,酒店/旅游,166,2,6,2,21,0,0,0,0,9
45,美容/保健,145,7,2,0,1,0,0,0,0,7
46,百货/连锁/零售服务,147,0,17,0,8,2,0,0,0,8
47,保安/家政/其他服务,108,5,0,0,0,0,0,0,0,26
48,毕业生类,264,0,1,2,23,3,0,0,0,3
49,其他,801,3,18,6,66,16,1,0,0,73
总体情况【招聘单位总数：375　　招聘职位总数：3401　　 招聘人数总数：24799】,,,,,,,,,,,
