市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2017年09月01日 至 2017年09月30日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,1692,0,24,12,126,8,0,0,0,48
2,计算机软件,14,0,0,0,2,1,0,0,0,4
3,销售管理,1220,3,18,8,88,6,0,0,0,69
4,市场/营销,1411,7,16,7,90,8,0,0,0,56
5,销售人员,2243,7,33,18,116,2,0,0,0,79
6,计算机硬件,10,0,1,0,0,2,0,0,0,0
7,互联网开发及应用,56,0,2,0,17,1,0,0,0,6
8,IT-管理,14,0,0,0,5,0,0,0,0,1
9,IT-品管、技术支持及其它,21,0,0,0,8,1,0,0,0,0
10,通信技术,2,0,0,0,0,2,0,0,0,0
11,电子/电器/半导体/仪器仪表,301,0,6,5,28,8,0,0,0,2
12,财务/审计/税务,338,0,0,0,110,19,0,0,0,34
13,工程/机械/能源,574,0,8,4,78,21,0,0,0,19
14,人力资源,369,0,0,0,84,7,0,0,0,33
15,高级管理,18,0,0,8,2,3,0,0,0,4
16,物流/仓储,405,7,13,15,32,2,0,0,0,41
17,艺术/平面/动画设计,222,0,3,0,55,4,0,0,0,10
18,科研人员,28,0,0,0,2,1,1,0,0,2
19,律师/法务,8,0,0,0,0,0,0,0,0,4
20,教师,136,0,0,1,7,20,0,0,0,2
21,医院/医疗/护理,45,0,0,2,6,0,0,0,0,4
22,咨询/顾问,426,0,8,1,13,13,0,0,0,3
23,交通运输服务,124,9,3,1,0,0,0,0,0,21
24,翻译,4,0,0,0,2,0,0,0,0,0
25,建筑工程/道桥/园艺,766,0,1,6,69,9,0,0,0,10
26,银行,59,1,1,3,3,0,0,0,0,0
27,行政/后勤,620,0,8,9,111,16,1,0,0,59
28,客服及技术支持,1054,0,13,22,53,2,0,0,0,24
29,证券/金融/投资,36,0,0,0,4,0,0,0,0,1
30,保险,53,0,0,0,2,4,0,0,0,0
31,生产/营运,473,19,9,11,16,0,0,0,0,10
32,质量体系/安全/环境保护,204,1,9,10,13,21,0,0,0,10
33,技工,1393,11,25,23,11,1,0,0,0,80
34,采购,29,0,0,2,11,1,0,0,0,2
35,贸易,40,0,0,1,8,0,0,0,0,2
36,生物/化工/制药/医疗器械,317,4,0,4,12,4,0,0,0,4
37,广告,26,0,0,0,6,4,0,0,0,0
38,公关/媒介,46,0,0,4,3,0,0,0,0,0
39,影视/媒体,28,0,0,0,5,0,0,0,0,0
40,文字/媒体/写作,6,0,0,0,2,2,0,0,0,0
41,房地产,1367,0,2,0,26,20,0,0,0,22
42,物业管理,317,0,15,1,8,2,0,0,0,50
43,餐饮/娱乐,924,4,16,0,5,0,0,0,0,64
44,酒店/旅游,117,1,3,4,11,0,0,0,0,14
45,美容/保健,339,7,5,3,3,0,0,0,0,10
46,百货/连锁/零售服务,594,1,31,9,11,0,0,0,0,22
47,保安/家政/其他服务,581,4,8,0,6,0,0,0,0,31
48,毕业生类,740,0,0,0,46,2,0,0,0,12
49,其他,1282,24,12,3,45,15,0,0,0,53
总体情况【招聘单位总数：405　　招聘职位总数：3118　　 招聘人数总数：21092】,,,,,,,,,,,
