市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2017年03月01日 至 2017年03月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,2840,0,26,11,211,0,0,0,0,132
2,计算机软件,229,0,1,0,22,16,0,0,0,2
3,销售管理,4444,2,51,21,399,41,0,0,0,198
4,市场/营销,4139,4,107,37,269,13,0,0,0,133
5,销售人员,9293,4,119,53,352,10,0,0,0,341
6,计算机硬件,42,0,0,0,12,5,0,0,0,1
7,互联网开发及应用,320,0,0,0,20,1,0,0,0,44
8,IT-管理,36,0,0,0,12,0,0,0,0,4
9,IT-品管、技术支持及其它,234,0,2,3,39,22,0,0,0,17
10,通信技术,208,0,2,1,27,0,0,0,0,3
11,电子/电器/半导体/仪器仪表,622,2,0,10,65,23,0,0,0,9
12,财务/审计/税务,824,0,8,13,238,35,1,0,0,103
13,工程/机械/能源,597,0,6,5,72,34,0,0,0,44
14,人力资源,1102,4,10,3,244,16,0,0,0,59
15,高级管理,134,0,7,0,22,8,0,0,0,8
16,物流/仓储,677,4,47,13,67,4,0,0,0,76
17,艺术/平面/动画设计,635,0,0,21,89,17,0,0,0,52
18,科研人员,33,0,0,0,3,4,1,0,0,0
19,律师/法务,24,0,0,0,2,0,0,0,0,10
20,教师,196,0,0,1,25,18,11,0,0,6
21,医院/医疗/护理,198,0,0,3,19,1,0,0,0,18
22,咨询/顾问,845,0,14,5,27,7,0,0,0,26
23,交通运输服务,164,0,6,8,10,0,0,0,0,39
24,翻译,15,0,0,0,8,4,0,0,0,0
25,建筑工程/道桥/园艺,1037,1,5,15,131,14,0,0,0,55
26,银行,12,0,0,0,2,0,0,0,0,0
27,行政/后勤,1971,1,40,22,348,20,0,0,0,217
28,客服及技术支持,2095,1,58,29,141,2,0,0,0,90
29,证券/金融/投资,578,0,1,7,19,0,0,0,0,6
30,保险,553,0,16,0,17,2,0,0,0,10
31,生产/营运,1115,16,13,17,55,6,0,0,0,54
32,质量体系/安全/环境保护,126,2,2,5,22,7,0,0,0,11
33,技工,1861,42,15,15,22,2,0,0,0,134
34,采购,236,0,7,0,46,2,0,0,0,28
35,贸易,167,0,0,0,25,8,0,0,0,3
36,生物/化工/制药/医疗器械,123,0,1,0,15,5,0,0,0,5
37,广告,30,0,0,0,7,3,0,0,0,4
38,公关/媒介,172,0,2,6,10,0,0,0,0,3
39,影视/媒体,34,0,0,0,8,0,0,0,0,5
40,文字/媒体/写作,104,0,0,0,34,5,0,0,0,9
41,房地产,2188,0,10,1,34,5,0,0,0,59
42,物业管理,256,0,15,0,7,0,0,0,0,36
43,餐饮/娱乐,987,10,9,1,29,0,0,0,0,109
44,酒店/旅游,163,3,7,0,16,0,0,0,0,29
45,美容/保健,471,7,3,7,3,0,0,0,0,31
46,百货/连锁/零售服务,428,1,27,8,23,0,0,0,0,14
47,保安/家政/其他服务,155,0,2,0,1,0,0,0,0,39
48,毕业生类,660,0,2,1,42,9,0,0,0,23
49,其他,1438,25,31,9,181,20,0,0,0,99
总体情况【招聘单位总数：683　　招聘职位总数：7465　　 招聘人数总数：44811】,,,,,,,,,,,
