市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2017年08月01日 至 2017年08月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,2338,0,39,2,137,0,0,0,0,120
2,计算机软件,211,0,3,0,29,6,0,0,0,7
3,销售管理,1048,0,11,4,85,6,0,0,0,78
4,市场/营销,1183,2,7,11,96,9,0,0,0,54
5,销售人员,3062,2,36,18,139,2,0,0,0,123
6,计算机硬件,25,0,1,0,2,2,0,0,0,0
7,互联网开发及应用,64,0,2,0,23,1,0,0,0,2
8,IT-管理,4,0,0,0,3,0,0,0,0,1
9,IT-品管、技术支持及其它,72,0,1,0,13,5,0,0,0,10
10,通信技术,6,0,0,0,1,1,0,0,0,0
11,电子/电器/半导体/仪器仪表,94,0,2,2,17,11,0,0,0,4
12,财务/审计/税务,351,2,5,7,136,7,0,0,0,31
13,工程/机械/能源,506,0,0,18,45,28,0,0,0,23
14,人力资源,361,0,7,1,78,9,0,0,0,31
15,高级管理,46,0,4,0,7,15,0,0,0,1
16,物流/仓储,562,16,19,12,27,2,0,0,0,28
17,艺术/平面/动画设计,427,0,1,19,67,7,0,0,0,29
18,律师/法务,7,0,0,0,0,2,0,0,0,1
19,教师,269,0,0,0,11,14,0,0,0,7
20,医院/医疗/护理,54,0,2,0,5,2,0,0,0,6
21,咨询/顾问,519,0,13,0,15,2,0,0,0,3
22,交通运输服务,82,11,0,0,2,0,0,0,0,16
23,建筑工程/道桥/园艺,1058,0,2,15,75,14,0,0,0,7
24,银行,81,0,1,1,9,0,0,0,0,0
25,行政/后勤,548,1,11,8,159,26,0,0,0,66
26,客服及技术支持,797,0,26,7,62,4,0,0,0,18
27,证券/金融/投资,123,0,1,0,9,10,0,0,0,2
28,保险,74,0,0,0,13,3,0,0,0,1
29,生产/营运,332,4,16,12,24,2,0,0,0,20
30,质量体系/安全/环境保护,112,3,9,9,12,3,0,0,0,5
31,技工,2360,36,35,33,18,0,0,0,0,131
32,采购,23,0,0,4,7,3,0,0,0,2
33,贸易,98,0,0,6,9,4,0,0,0,3
34,生物/化工/制药/医疗器械,141,0,0,0,19,14,1,0,0,5
35,广告,13,0,0,0,1,0,0,0,0,3
36,影视/媒体,215,0,0,0,0,0,0,0,0,7
37,文字/媒体/写作,18,0,0,0,5,1,0,0,0,0
38,房地产,1509,2,2,0,6,0,0,0,0,26
39,物业管理,281,2,10,0,7,0,0,0,0,33
40,餐饮/娱乐,1105,5,19,2,9,0,0,0,0,90
41,酒店/旅游,163,1,3,1,12,1,0,0,0,12
42,美容/保健,295,1,25,0,2,0,0,0,0,5
43,百货/连锁/零售服务,1241,11,42,20,38,1,0,0,0,30
44,保安/家政/其他服务,161,0,0,0,0,0,0,0,0,23
45,毕业生类,658,0,1,0,52,5,0,0,0,18
46,其他,968,7,14,19,27,14,0,0,0,44
总体情况【招聘单位总数：466　　招聘职位总数：3583　　 招聘人数总数：23665】,,,,,,,,,,,
