市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2017年07月01日 至 2017年07月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,1753,0,47,0,116,0,0,0,0,38
2,计算机软件,275,0,0,0,40,2,0,0,0,1
3,销售管理,1036,0,13,4,76,5,0,0,0,43
4,市场/营销,494,1,10,1,48,1,0,0,0,27
5,销售人员,1793,0,36,18,76,3,0,0,0,78
6,计算机硬件,33,0,0,0,8,1,0,0,0,0
7,互联网开发及应用,198,0,0,0,25,3,0,0,0,19
8,IT-管理,11,0,0,0,1,1,0,0,0,0
9,IT-品管、技术支持及其它,376,0,1,1,40,4,0,0,0,18
10,电子/电器/半导体/仪器仪表,4210,0,2,2,11,9,0,0,0,6
11,财务/审计/税务,282,0,1,8,96,6,0,0,0,22
12,工程/机械/能源,60,0,0,2,6,12,0,0,0,2
13,人力资源,312,0,5,0,83,6,0,0,0,16
14,高级管理,7,0,0,0,1,4,0,0,0,0
15,物流/仓储,149,0,5,5,27,0,0,0,0,14
16,艺术/平面/动画设计,190,0,2,0,43,2,0,0,0,2
17,律师/法务,12,0,0,0,0,2,0,0,0,4
18,教师,49,0,0,0,2,2,1,0,0,5
19,医院/医疗/护理,59,0,0,0,5,0,0,0,0,11
20,咨询/顾问,543,0,13,0,28,14,0,0,0,3
21,交通运输服务,29,5,0,0,0,0,0,0,0,7
22,建筑工程/道桥/园艺,398,0,1,17,65,6,0,0,0,15
23,行政/后勤,250,0,2,8,71,6,0,0,0,26
24,客服及技术支持,335,3,16,1,25,0,0,0,0,15
25,证券/金融/投资,181,0,0,2,22,0,0,0,0,6
26,保险,123,0,7,0,7,2,0,0,0,0
27,生产/营运,18,0,0,1,7,2,0,0,0,7
28,质量体系/安全/环境保护,28,0,0,0,11,1,0,0,0,0
29,技工,207,6,4,3,2,0,0,0,0,26
30,采购,18,0,0,4,5,0,0,0,0,1
31,贸易,31,0,0,0,1,2,0,0,0,1
32,生物/化工/制药/医疗器械,29,0,0,0,3,1,0,0,0,3
33,广告,22,0,0,1,2,1,0,0,0,1
34,文字/媒体/写作,6,0,0,0,2,2,0,0,0,0
35,房地产,978,0,10,0,8,0,0,0,0,17
36,物业管理,76,0,4,0,2,0,0,0,0,18
37,餐饮/娱乐,415,7,4,0,3,0,0,0,0,53
38,酒店/旅游,201,2,10,2,20,0,0,0,0,9
39,美容/保健,50,0,0,4,0,0,0,0,0,3
40,百货/连锁/零售服务,289,1,5,10,14,0,0,0,0,6
41,保安/家政/其他服务,55,0,0,0,0,0,0,0,0,21
42,毕业生类,702,0,0,0,41,1,0,0,0,9
43,其他,186,1,3,9,32,3,0,0,0,17
总体情况【招聘单位总数：218　　招聘职位总数：2082　　 招聘人数总数：16469】,,,,,,,,,,,
