市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2017年05月01日 至 2017年05月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,1216,0,33,1,65,1,0,0,0,38
2,计算机软件,13,0,0,0,2,2,0,0,0,0
3,销售管理,1182,0,19,5,113,13,0,0,0,93
4,市场/营销,1326,0,30,13,81,6,0,0,0,78
5,销售人员,3337,0,52,8,139,7,0,0,0,145
6,计算机硬件,6,0,0,0,2,0,0,0,0,1
7,互联网开发及应用,86,0,0,0,23,0,0,0,0,0
8,IT-管理,8,0,0,0,2,0,0,0,0,2
9,IT-品管、技术支持及其它,143,0,0,2,3,6,0,0,0,35
10,通信技术,2,0,0,2,0,0,0,0,0,0
11,电子/电器/半导体/仪器仪表,166,0,0,1,23,4,0,0,0,7
12,财务/审计/税务,428,0,4,12,110,19,0,0,0,60
13,工程/机械/能源,317,0,3,10,27,24,0,0,0,24
14,人力资源,326,0,0,0,99,8,0,0,0,16
15,高级管理,31,0,0,0,4,5,0,0,0,7
16,物流/仓储,422,0,21,7,33,0,0,0,0,64
17,艺术/平面/动画设计,204,0,4,1,31,0,0,0,0,20
18,科研人员,2,0,0,0,1,0,0,0,0,0
19,律师/法务,21,0,0,0,2,0,0,0,0,7
20,教师,138,0,0,4,15,9,5,0,0,2
21,医院/医疗/护理,27,0,0,0,2,0,0,0,0,5
22,咨询/顾问,377,2,10,0,14,0,0,0,0,6
23,交通运输服务,131,8,1,0,3,0,0,0,0,23
24,翻译,1,0,0,0,0,1,0,0,0,0
25,建筑工程/道桥/园艺,772,2,1,13,110,10,0,0,0,39
26,银行,10,0,1,0,0,0,0,0,0,0
27,行政/后勤,610,0,21,7,115,8,0,0,0,70
28,客服及技术支持,1059,0,25,9,49,0,0,0,0,38
29,证券/金融/投资,47,0,0,1,6,0,0,0,0,0
30,保险,77,0,0,0,10,0,0,0,0,2
31,生产/营运,164,3,1,1,13,0,0,0,0,25
32,质量体系/安全/环境保护,99,0,4,1,19,0,0,0,0,8
33,技工,660,8,18,21,7,0,0,0,0,77
34,采购,22,2,1,1,6,0,0,0,0,2
35,贸易,43,0,0,0,8,3,0,0,0,6
36,生物/化工/制药/医疗器械,248,0,5,0,8,4,0,0,0,4
37,广告,68,0,0,0,1,0,0,0,0,17
38,公关/媒介,2,0,0,0,1,0,0,0,0,0
39,影视/媒体,20,0,0,0,1,0,0,0,0,0
40,文字/媒体/写作,50,0,2,1,3,5,0,0,0,16
41,房地产,793,0,4,3,8,0,0,0,0,24
42,物业管理,73,0,6,4,1,0,0,0,0,9
43,餐饮/娱乐,620,9,4,0,6,0,0,0,0,71
44,酒店/旅游,187,4,9,2,25,0,0,0,0,30
45,美容/保健,40,0,0,0,2,0,0,0,0,0
46,百货/连锁/零售服务,166,3,7,0,7,0,0,0,0,10
47,保安/家政/其他服务,110,4,0,0,4,0,0,0,0,26
48,毕业生类,334,0,0,5,13,6,0,0,0,1
49,其他,1051,4,7,7,54,6,1,0,0,61
总体情况【招聘单位总数：335　　招聘职位总数：3081　　 招聘人数总数：17235】,,,,,,,,,,,
