市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2017年02月01日 至 2017年02月28日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,3925,0,53,16,247,6,0,0,0,179
2,计算机软件,701,1,1,0,74,36,6,0,0,7
3,销售管理,12741,5,133,49,677,54,0,0,0,437
4,市场/营销,10462,14,166,69,522,66,0,0,0,324
5,销售人员,19672,22,209,101,609,10,0,0,0,591
6,计算机硬件,48,0,0,0,6,2,0,0,0,7
7,互联网开发及应用,567,0,2,0,92,4,0,0,0,53
8,IT-管理,61,0,0,0,26,1,0,0,0,8
9,IT-品管、技术支持及其它,292,0,2,2,47,25,0,0,0,12
10,通信技术,213,0,0,3,26,0,0,0,0,1
11,电子/电器/半导体/仪器仪表,2155,16,1,35,40,22,0,0,0,22
12,财务/审计/税务,1336,1,21,28,477,58,0,0,0,202
13,工程/机械/能源,1160,3,9,10,158,69,0,0,0,71
14,人力资源,1498,0,11,1,314,63,0,0,0,113
15,高级管理,188,0,5,0,39,15,0,0,0,28
16,物流/仓储,1309,25,63,62,91,8,0,0,0,178
17,艺术/平面/动画设计,1104,0,9,19,183,48,0,0,0,86
18,科研人员,43,0,0,0,0,10,3,0,0,1
19,律师/法务,21,0,0,0,4,2,0,0,0,6
20,教师,1369,0,0,0,70,112,28,0,0,23
21,医院/医疗/护理,2560,0,3,1,74,6,0,0,0,78
22,咨询/顾问,1543,0,27,6,67,15,0,0,0,42
23,交通运输服务,519,19,32,2,14,0,0,0,0,95
24,翻译,37,0,0,0,20,11,0,0,0,1
25,建筑工程/道桥/园艺,1751,1,14,13,188,20,0,0,0,124
26,银行,24,0,0,0,4,0,0,0,0,0
27,行政/后勤,3505,6,58,61,678,44,0,0,0,387
28,客服及技术支持,3334,3,52,24,296,7,0,0,0,129
29,证券/金融/投资,1186,0,0,3,58,2,0,0,0,15
30,保险,508,0,9,0,10,8,0,0,0,12
31,生产/营运,2113,14,12,18,111,12,0,0,0,117
32,质量体系/安全/环境保护,183,2,7,6,44,12,0,0,0,7
33,技工,4348,80,42,13,22,2,0,0,0,349
34,服装/纺织/皮革,8,0,0,0,0,2,0,0,0,2
35,采购,474,0,21,0,81,0,0,0,0,29
36,贸易,277,0,0,1,40,11,0,0,0,8
37,生物/化工/制药/医疗器械,269,0,5,0,11,13,0,0,0,50
38,广告,71,0,0,0,19,13,0,0,0,5
39,公关/媒介,88,0,0,5,14,0,0,0,0,1
40,影视/媒体,42,0,0,0,19,0,0,0,0,9
41,文字/媒体/写作,125,0,0,0,35,14,0,0,0,8
42,房地产,2319,2,11,5,33,5,0,0,0,101
43,物业管理,452,8,9,3,32,4,0,0,0,57
44,餐饮/娱乐,2166,25,31,1,26,0,0,0,0,235
45,酒店/旅游,341,6,9,0,45,0,0,0,0,51
46,美容/保健,2193,24,52,18,6,0,0,0,0,58
47,百货/连锁/零售服务,1879,2,74,20,49,1,0,0,0,71
48,保安/家政/其他服务,400,0,0,0,0,0,0,0,0,89
49,毕业生类,930,0,0,2,55,18,0,0,0,33
50,其他,2956,26,67,22,260,56,0,0,0,258
总体情况【招聘单位总数：915　　招聘职位总数：13888　　 招聘人数总数：95466】,,,,,,,,,,,
