市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2017年01月01日 至 2017年01月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,60,0,0,0,6,2,0,0,0,8
2,计算机软件,15,0,0,0,0,3,2,0,0,0
3,销售管理,78,0,0,0,11,2,0,0,0,0
4,市场/营销,31,0,0,0,5,0,0,0,0,2
5,销售人员,180,0,0,0,2,0,0,0,0,12
6,互联网开发及应用,4,0,0,0,2,0,0,0,0,0
7,IT-品管、技术支持及其它,10,0,0,2,2,0,0,0,0,0
8,电子/电器/半导体/仪器仪表,127,6,0,0,0,3,0,0,0,0
9,财务/审计/税务,26,0,0,0,6,4,0,0,0,1
10,工程/机械/能源,131,3,3,2,7,5,0,0,0,2
11,人力资源,2,0,0,0,0,0,0,0,0,2
12,高级管理,4,0,0,0,0,2,0,0,0,2
13,物流/仓储,5,0,0,2,1,0,0,0,0,0
14,艺术/平面/动画设计,6,0,0,0,0,0,0,0,0,2
15,科研人员,4,0,0,0,0,0,2,0,0,0
16,律师/法务,3,0,0,0,0,1,0,0,0,1
17,教师,6,0,0,0,0,0,1,0,0,0
18,医院/医疗/护理,10,0,0,0,0,0,0,0,0,2
19,咨询/顾问,1,0,0,0,0,0,0,0,0,1
20,交通运输服务,7,0,1,0,0,0,0,0,0,3
21,翻译,2,0,0,0,0,2,0,0,0,0
22,建筑工程/道桥/园艺,4,0,0,0,3,0,0,0,0,0
23,行政/后勤,32,0,0,0,3,1,0,0,0,6
24,生产/营运,4,0,0,0,2,0,0,0,0,0
25,质量体系/安全/环境保护,2,0,0,0,2,0,0,0,0,0
26,技工,110,1,0,3,4,0,0,0,0,7
27,物业管理,9,0,1,0,0,0,0,0,0,3
28,餐饮/娱乐,134,0,0,0,1,0,0,0,0,17
29,酒店/旅游,4,0,0,0,2,0,0,0,0,0
30,美容/保健,40,0,2,0,0,0,0,0,0,0
31,保安/家政/其他服务,16,0,0,0,0,0,0,0,0,6
32,毕业生类,15,0,0,0,2,0,0,0,0,0
33,其他,63,0,3,0,8,1,0,0,0,4
总体情况【招聘单位总数：30　　招聘职位总数：210　　 招聘人数总数：1145】,,,,,,,,,,,
