市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2017年06月01日 至 2017年06月30日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,2432,0,48,7,113,1,0,0,0,56
2,计算机软件,75,0,0,0,5,6,0,0,0,2
3,销售管理,1000,0,11,20,87,8,0,0,0,78
4,市场/营销,1440,1,17,13,99,7,0,0,0,60
5,销售人员,2304,0,24,16,100,6,0,0,0,150
6,计算机硬件,37,0,0,0,6,3,0,0,0,2
7,互联网开发及应用,136,0,0,0,10,6,0,0,0,15
8,IT-管理,11,0,0,0,1,0,0,0,0,1
9,IT-品管、技术支持及其它,106,0,0,0,8,8,0,0,0,7
10,通信技术,30,0,0,0,13,0,0,0,0,0
11,电子/电器/半导体/仪器仪表,131,0,0,3,21,7,0,0,0,3
12,财务/审计/税务,263,0,6,7,76,14,0,0,0,37
13,工程/机械/能源,228,2,0,6,26,12,0,0,0,12
14,人力资源,304,0,6,0,84,16,0,0,0,36
15,高级管理,31,0,0,0,4,10,0,0,0,2
16,物流/仓储,295,4,36,10,28,0,0,0,0,30
17,艺术/平面/动画设计,222,0,2,8,40,0,0,0,0,19
18,科研人员,11,0,0,0,1,0,0,0,0,1
19,律师/法务,16,0,0,0,0,2,0,0,0,5
20,教师,142,0,0,0,10,11,0,0,0,4
21,医院/医疗/护理,32,0,0,2,0,3,0,0,0,1
22,咨询/顾问,558,0,15,0,9,13,0,0,0,9
23,交通运输服务,63,8,4,0,0,0,0,0,0,11
24,建筑工程/道桥/园艺,263,0,3,6,48,4,0,0,0,18
25,银行,119,0,0,1,0,0,0,0,0,1
26,行政/后勤,811,0,9,10,139,29,0,0,0,65
27,客服及技术支持,899,0,26,11,37,3,0,0,0,18
28,证券/金融/投资,118,0,2,2,7,4,0,0,0,0
29,保险,154,0,0,0,17,3,0,0,0,1
30,生产/营运,128,0,2,2,8,6,0,0,0,10
31,质量体系/安全/环境保护,36,2,1,0,9,3,0,0,0,2
32,技工,1142,13,4,3,10,0,0,0,0,64
33,服装/纺织/皮革,4,0,0,0,0,0,0,0,0,2
34,采购,31,0,0,2,6,6,0,0,0,1
35,贸易,156,0,0,1,14,0,0,0,0,3
36,生物/化工/制药/医疗器械,76,0,0,2,8,0,0,0,0,1
37,广告,44,0,0,0,7,6,0,0,0,1
38,文字/媒体/写作,26,0,0,0,9,2,0,0,0,1
39,房地产,955,0,0,1,3,0,0,0,0,24
40,物业管理,173,0,5,0,8,1,0,0,0,21
41,餐饮/娱乐,270,1,2,0,1,0,0,0,0,43
42,酒店/旅游,53,0,0,1,6,0,0,0,0,15
43,美容/保健,205,3,2,3,1,0,0,0,0,6
44,百货/连锁/零售服务,151,0,5,3,9,0,0,0,0,3
45,保安/家政/其他服务,37,0,0,0,1,0,0,0,0,14
46,毕业生类,263,0,4,1,20,5,0,0,0,8
47,其他,397,3,6,6,37,7,0,0,0,42
总体情况【招聘单位总数：339　　招聘职位总数：2688　　 招聘人数总数：16378】,,,,,,,,,,,
