1,计算机软件,211,0,0,0,22,6,0,0,0,17
2,销售管理,2205,2,25,24,175,7,0,0,0,156
3,市场/营销,2195,0,28,27,102,4,0,0,0,106
4,销售人员,8730,10,107,213,256,11,0,0,0,279
5,计算机硬件,90,0,0,1,5,0,0,0,0,6
6,互联网开发及应用,258,0,0,8,35,1,0,0,0,9
7,IT-管理,142,0,0,0,1,0,0,0,0,2
8,IT-品管、技术支持及其它,95,0,5,1,10,0,0,0,0,6
9,通信技术,79,0,0,2,3,1,0,0,0,4
10,电子/电器/半导体/仪器仪表,156,0,7,0,12,8,3,0,0,4
11,财务/审计/税务,195,4,16,11,60,0,0,0,0,22
12,工程/机械/能源,63,0,2,2,16,7,0,0,0,5
13,人力资源,210,0,4,0,60,7,0,0,0,17
14,高级管理,25,0,0,0,5,1,0,0,0,5
15,物流/仓储,301,10,7,8,11,0,0,0,0,48
16,艺术/平面/动画设计,129,0,1,1,29,3,0,0,0,8
17,科研人员,12,0,0,0,0,0,0,0,0,2
18,律师/法务,8,0,0,0,0,0,0,0,0,2
19,教师,106,0,0,0,18,3,0,0,0,6
20,医院/医疗/护理,109,0,0,0,15,0,0,0,0,3
21,咨询/顾问,285,0,4,3,34,0,0,0,0,13
22,交通运输服务,96,10,0,1,2,0,0,0,0,12
23,翻译,14,0,0,0,0,6,0,0,0,0
24,建筑工程/道桥/园艺,375,0,0,0,25,4,0,0,0,24
25,行政/后勤,851,1,6,17,127,5,0,0,0,90
26,客服及技术支持,826,0,9,26,28,0,0,0,0,37
27,证券/金融/投资,752,0,14,2,22,0,0,0,0,34
28,保险,1125,8,0,0,26,7,0,0,0,0
29,生产/营运,249,0,3,4,2,1,0,0,0,4
30,质量体系/安全/环境保护,67,0,0,0,25,2,0,0,0,9
31,技工,621,4,0,2,6,0,0,0,0,59
32,服装/纺织/皮革,1,0,1,0,0,0,0,0,0,0
33,采购,53,0,6,2,9,0,0,0,0,2
34,贸易,33,0,0,0,6,3,0,0,0,2
35,生物/化工/制药/医疗器械,156,0,1,0,6,9,0,0,0,27
36,广告,10,0,0,0,3,0,0,0,0,1
37,影视/媒体,13,0,0,0,5,0,0,0,0,0
38,文字/媒体/写作,14,0,0,1,7,0,0,0,0,1
39,房地产,1218,20,2,3,10,0,0,0,0,51
40,物业管理,255,0,0,1,5,0,0,0,0,12
41,餐饮/娱乐,1125,4,6,10,10,0,0,0,0,121
42,酒店/旅游,303,4,3,2,5,0,0,0,0,11
43,美容/保健,118,0,0,0,0,0,0,0,0,13
44,百货/连锁/零售服务,23,0,0,0,1,0,0,0,0,3
45,保安/家政/其他服务,51,3,0,0,2,0,0,0,0,5
46,毕业生类,1317,0,2,4,56,2,0,0,0,57
47,其他,311,0,10,2,49,0,0,0,0,43
总体情况【招聘单位总数：390　　招聘职位总数：3473　　 招聘人数总数：25581】,,,,,,,,,,,
